X	logFC	FDR
NCU07767	10.3856110101867	2.16433995537265e-16
NCU10186	8.89394280273585	3.25417407317004e-16
NCU01151	7.42070626830264	6.12190042334169e-16
NCU05381	7.46079939070676	6.35614234764761e-16
NCU17038	10.1437790081766	1.3255872248231e-15
NCU04630	10.1006528006056	3.37827856669126e-15
NCU09568	7.25753720830626	6.78362082822709e-15
NCU05036	7.49283345749688	9.69840437181489e-15
NCU07218	10.4455185110758	9.69840437181489e-15
NCU04169	12.8383198971263	1.0499740155285e-14
NCU07765	11.3764215951369	1.0499740155285e-14
NCU05098	10.1978746313721	2.01693993996296e-14
rpd	6.23193973706616	2.13481047051643e-14
stk-54	7.39966202446166	2.13481047051643e-14
NCU03323	4.92375521898084	2.13481047051643e-14
gh7-4	8.71252801921415	2.13481047051643e-14
NCU09471	9.89124917220293	2.79591284126262e-14
NCU17283	10.7809685169291	2.84212547146026e-14
NCU05260	5.13963520087656	3.16735078331375e-14
NCU07129	8.458044695917	3.9198805450453e-14
NCU07148	10.7012367222784	3.92847169059824e-14
NCU07147	8.59650888521855	3.92847169059824e-14
NCU00835	5.99031793106036	4.08055287663729e-14
NCU09046	10.247664424165	4.72628980510495e-14
NCU08639	9.02632518252422	5.22201803865343e-14
NCU01315	4.51591967959339	5.27436586726568e-14
NCU02023	7.91740544600767	6.83788927505649e-14
NCU06476	7.60734580371805	7.65823008847764e-14
NCU08085	9.56416904686896	9.11116648487755e-14
NCU06253	3.43955389163889	9.61060443872596e-14
NCU02909	7.51445593470052	9.61060443872596e-14
NCU00694	6.13764327126867	9.61060443872596e-14
NCU06582	9.99547374349814	9.73635744910722e-14
NCU09978	5.96763801266591	1.01014343825534e-13
NCU01910	4.25009648899378	1.02123552861163e-13
NCU04095	4.31014606876916	1.0842323089862e-13
NCU17137	8.255793385915	1.12977923634874e-13
NCU08188	7.42924954474698	1.12977923634874e-13
NCU00290	6.9576024562452	1.48444481332456e-13
NCU09523	6.24481482295374	1.53937483670118e-13
NCU08037	11.6727326917868	1.69060917341675e-13
NCU08967	5.55245992924752	1.69060917341675e-13
NCU09372	7.04364076969656	2.30300945509503e-13
NCU03248	4.42947615524015	2.68982537806748e-13
NCU00486	4.6246821796963	2.91502057410563e-13
NCU07115	6.80075401777829	2.92521237766199e-13
mss4	3.90738578660136	2.92521237766199e-13
NCU08813	9.41734540429657	3.0465125228353e-13
NCU17282	11.3818880201985	3.12960071098038e-13
NCU07751	7.27535935830628	3.12960071098038e-13
NCU01593	9.25500597935833	3.32092734010309e-13
NCU03468	4.65943102925057	3.86813347978267e-13
NCU07150	7.43836553316713	3.86813347978267e-13
NCU09287	5.192966675424	3.86813347978267e-13
NCU01592	9.77655705133026	4.48875249327693e-13
NCU08524	3.44190211280018	4.49048369496417e-13
NCU00845	4.10119239392709	4.9286831957806e-13
NCU05726	3.03704101600161	4.9286831957806e-13
NCU09172	8.61683836416034	5.10898319086112e-13
NCU09472	9.1481288667762	5.31327245260381e-13
NCU09569	6.0579626068118	5.76618980187678e-13
NCU05212	4.89357978748993	5.82385751341301e-13
NCU01076	8.54928528899002	6.05697702885261e-13
NCU03645	4.45929153560896	6.05962774068727e-13
NCU06860	3.51589589226734	6.05962774068727e-13
NCU11309	7.67933160594473	6.99086371858935e-13
NCU02930	6.9267857597427	7.14201757481335e-13
NCU16472	5.69857226265878	8.12057851316601e-13
NCU05068	5.06990515457711	8.2586345833484e-13
NCU02952	4.7112695088751	8.43875454886578e-13
NCU05957	5.23187914143514	8.43875454886578e-13
NCU09470	9.49309298981926	8.68124015451072e-13
NCU10806	4.44672085607561	8.71396464011689e-13
NCU08056	4.14890476033237	8.92001749865731e-13
NCU16942	7.18769866506417	8.92001749865731e-13
NCU09054	4.5980670422104	9.07373578170495e-13
NCU02175	6.53615907368269	9.4417194386652e-13
NCU05639	7.77210710870105	9.74947905170401e-13
NCU17188	7.71192590744342	1.03661534461086e-12
NCU09650	10.6812221172578	1.09311324020567e-12
NCU07919	7.07972738052025	1.15382869733204e-12
NCU09846	3.07381562320475	1.15382869733204e-12
stk-35	7.7509745744484	1.15382869733204e-12
NCU10030	3.35630736777926	1.24469593087577e-12
NCU09391	8.43550995164122	1.25643545702268e-12
NCU03106	3.37019262657949	1.28125281867553e-12
NCU09052	9.83844432168656	1.37594351533244e-12
NCU07107	7.50714168637393	1.38580594748545e-12
NCU06884	4.16750737072932	1.554438491656e-12
NCU08901	7.68890596983695	1.70701957405132e-12
NCU05193	4.08174230063397	1.7352981711644e-12
NCU02875	5.18696967028087	1.78079274661699e-12
kal-1	3.67304315731012	1.86662137608028e-12
NCU05173	6.61317265104764	1.86662137608028e-12
NCU07766	8.27761928914678	1.88533385035175e-12
NCU08630	5.97098650601682	1.90614984771738e-12
NCU08521	5.99104109414143	1.91201439623075e-12
NCU02913	6.17024130091663	1.91201439623075e-12
NCU06487	4.04178259385122	1.91201439623075e-12
NCU04638	5.51776330428704	1.94308893085766e-12
NCU05131	4.45094966637898	2.08651877015711e-12
NCU07063	4.21192706506237	2.15745721016575e-12
NCU07140	5.91851660954588	2.17177173520286e-12
NCU00055	3.13184086057687	2.17177173520286e-12
mld-1	6.27578443141139	2.20760715112657e-12
NCU16633	7.54798282515015	2.24395982382088e-12
NCU10529	4.16063943105218	2.26608174108751e-12
NCU05097	6.32295679223708	2.30757436203381e-12
NCU00899	5.67540352112875	2.31132991498936e-12
NCU05821	6.44114557991813	2.43145975682041e-12
NCU02030	4.56448271046253	2.46362285843326e-12
NCU09484	6.22166828693388	2.46362285843326e-12
NCU06173	4.7634809646088	2.46362285843326e-12
NCU05092	8.22683518122181	2.46362285843326e-12
NCU04593	6.12162954412156	2.55688106490447e-12
NCU01748	5.36242782629551	2.7242660823018e-12
NCU09112	3.39947042682139	2.77482954114441e-12
NCU00282	4.95823031574499	3.02527094801002e-12
NCU03699	7.62377580289427	3.10304956563846e-12
NCU06019	4.00882230878643	3.10304956563846e-12
prk-9	8.62253864452275	3.10596716142371e-12
NCU09567	7.27729163644181	3.334701017919e-12
NCU05493	5.53994286373884	3.334701017919e-12
NCU04771	3.23310686280811	3.42561118417359e-12
NCU11306	5.94891568953488	3.46092387845525e-12
NCU07920	11.1018832116112	3.50378972221145e-12
gh47-5	5.75890707665149	3.51997751663293e-12
NCU07168	4.61981151884469	3.58592380937791e-12
NCU10037	7.2042979957379	3.59765917727011e-12
NCU06252	4.8623314869551	3.64680612890063e-12
NCU09147	8.51253081116459	3.66925368537692e-12
NCU07089	6.65705775977001	3.66925368537692e-12
NCU08889	3.03254050111621	4.13678468974505e-12
NCU09617	3.93727667914782	4.29156525588492e-12
NCU07162	4.59167879391201	4.3486439950573e-12
NCU06747	6.24643324061681	4.3486439950573e-12
NCU04034	6.57099011222405	4.38717464328654e-12
NCU09615	3.44661249399231	4.425713781941e-12
NCU05931	5.1801433436259	4.425713781941e-12
NCU07768	8.14104092726268	4.55323026916197e-12
NCU00834	4.11744157928218	4.59552025231334e-12
NCU04514	2.82905528976446	4.76653300811278e-12
NCU16927	9.71456894092317	4.76653300811278e-12
NCU06901	8.77363610641384	4.9883111521894e-12
NCU10344	8.46974000923828	5.64631074942585e-12
NCU00556	3.08766550814449	5.69269286913591e-12
NCU02730	3.3901946631504	5.87673676609144e-12
NCU00929	4.04833555546515	5.87673676609144e-12
NCU00558	5.36570498641818	5.87673676609144e-12
NCU05964	5.45999628324767	5.92451877054816e-12
pzl-1	3.19530394112814	6.70947447701506e-12
NCU09010	3.00977493223588	6.78671353695178e-12
NCU02953	5.00238112781745	7.00017657055877e-12
NCU09296	4.21646682341111	7.00017657055877e-12
NCU04168	7.48518511756885	7.15610666347689e-12
NCU07091	9.31795458081882	7.31420002165088e-12
NCU07905	8.33247953481917	7.59199942221029e-12
NCU03481	7.34162865736245	7.59199942221029e-12
NCU08491	8.3894157844199	8.37429138333793e-12
NCU09762	5.21949279849669	8.53181808532536e-12
NCU09448	8.62995773833885	8.81826805494488e-12
NCU07090	10.7339597556183	8.81826805494488e-12
NCU08915	7.9212071021589	9.10986343104795e-12
NCU09188	5.81796061306088	9.33792866250922e-12
NCU05074	4.19423330805093	9.65688427494279e-12
NCU16529	5.60610149621325	1.02122968084979e-11
ccg-9	5.25887136238655	1.023824052411e-11
NCU09187	6.17995661880348	1.023824052411e-11
NCU06984	2.84562377891575	1.19158433981755e-11
stk-22	3.97743201604025	1.19409026708348e-11
NCU09177	10.0825242095332	1.20136092453666e-11
NCU04935	5.08516461936478	1.20456497949219e-11
NCU09855	6.84975079907387	1.20886965859574e-11
NCU01108	5.10542901787296	1.21969982702638e-11
mig-12	4.52546063645294	1.21969982702638e-11
NCU07596	8.09364985234555	1.22293739464767e-11
NCU05379	7.17111690308964	1.24798592619961e-11
NCU05042	5.66729440095302	1.25228666949082e-11
NCU07532	7.97468805420806	1.25228666949082e-11
NCU04400	7.76659307341861	1.28899935412238e-11
NCU04544	6.65858390947502	1.31780851975081e-11
NCU11286	10.8411598555509	1.36222344842157e-11
NCU00947	7.47518273827885	1.40197473332716e-11
NCU16549	2.76818799722859	1.42703670071953e-11
NCU10809	4.62768307295465	1.43755902982989e-11
NCU04738	2.73676263355542	1.43755902982989e-11
NCU04021	4.87697233543462	1.43755902982989e-11
NCU05106	10.5430082636785	1.44020160607722e-11
NCU06990	3.27789892032168	1.50103795138195e-11
NCU03120	4.42400309720869	1.51755282635488e-11
NCU09325	3.27875196117319	1.57233951824247e-11
NCU02351	3.02804951073925	1.64195435873039e-11
NCU07511	7.09553970710155	1.70565721337886e-11
NCU06153	6.18994413296098	1.71644564469846e-11
NCU01309	3.69244506986496	1.71644564469846e-11
NCU05866	8.0329556101541	1.72827602814981e-11
NCU16632	6.57178088739334	1.72827602814981e-11
NCU09053	6.5948117277002	1.74927560519572e-11
NCU09717	7.11442392742709	1.74927560519572e-11
NCU05356	3.62744737991981	1.79586264406779e-11
NCU09027	4.16066403339351	1.90584866550347e-11
NCU07152	7.91559690079724	1.91379462445484e-11
NCU02257	3.65122021432551	1.95862309089529e-11
NCU06838	2.31351243024233	1.95896974891375e-11
NCU09244	4.85405560881213	1.97039419589359e-11
NCU09049	7.04874031595916	2.00692257877454e-11
NCU09522	3.8265816673868	2.00692257877454e-11
NCU00420	3.10149665490316	2.09628870403258e-11
arg-13	4.30401832529838	2.1196187598327e-11
NCU11346	6.0021068185706	2.13688548323934e-11
NCU08812	12.7528625452655	2.2485735205432e-11
NCU06387	5.58692418662969	2.34132375962883e-11
NCU09605	5.56442984667741	2.34675577257923e-11
NCU04088	3.9957769904826	2.49866263589439e-11
NCU06834	2.80244678668635	2.50843461820924e-11
NCU04628	2.3377571287862	2.54039927129704e-11
NCU08084	7.90186660533437	2.54039927129704e-11
NCU04506	6.21210932233874	2.57104328376025e-11
NCU01078	2.86555251966281	2.59394941521435e-11
NCU09197	4.12032824417466	2.59394941521435e-11
NCU09556	4.30668613002928	2.68341807801417e-11
NCU01559	3.84793260939228	2.78408466163236e-11
NCU11253	5.02421650188353	2.78408466163236e-11
NCU00046	2.55336051334006	2.79950504721471e-11
NCU04214	8.06160041032589	2.84745560981674e-11
NCU00035	4.43623162585625	2.84745560981674e-11
amt	6.67325381843245	2.84745560981674e-11
NCU04556	7.30956141560953	2.89500264409984e-11
NCU05939	3.79920130171609	2.99437697943348e-11
NCU00380	7.07772681511671	3.01266642863271e-11
NCU05190	7.65969017263884	3.03240000044804e-11
NCU17050	6.88042466669945	3.05671276946832e-11
tah-1	5.47393139303958	3.14659511420998e-11
SesB	8.27686938007247	3.22111916678373e-11
NCU06906	3.27802627582171	3.37341535314745e-11
NCU07074	4.42780008678737	3.40029922918961e-11
NCU07969	5.93647960396831	3.46853654691638e-11
NCU12104	5.80779338333494	3.46853654691638e-11
NCU04912	4.12405899480859	3.51386510018286e-11
NCU02097	4.51767454908028	3.65957455068843e-11
NCU09854	8.15908896597336	3.7706950093029e-11
set-4	2.9306660231125	3.90645168627488e-11
NCU16846	7.92819381787902	3.96873690415578e-11
NCU07180	6.60911154845973	3.9991700657335e-11
NCU05987	2.88238141155753	3.9991700657335e-11
NCU06920	5.62190845714659	4.08636000787747e-11
NCU00373	4.31524579549436	4.0869460358312e-11
NCU02655	7.32783258614454	4.16703314344372e-11
NCU02853	3.09393049767643	4.22551436401753e-11
NCU08271	3.9722987863409	4.22574172950849e-11
NCU02487	5.59977583690372	4.26880568144351e-11
NCU07094	5.90225266864947	4.31112889572655e-11
NCU01911	2.93863647329204	4.31112889572655e-11
NCU05093	7.12123056585808	4.49473682195171e-11
NCU08523	4.68388503624146	4.54377610289312e-11
xr	2.65310757750356	4.81571342305344e-11
acon-2	4.89130560661746	4.85771600195007e-11
msn-1	3.58781358991437	4.92800178759197e-11
NCU03698	4.14378025706013	4.98163883150313e-11
NCU03024	2.81735612497849	5.03111001491518e-11
NCU08047	2.45589362120231	5.03178034254232e-11
NCU09907	6.65239453126762	5.14766806978802e-11
NCU08522	4.48718455534128	5.76969220955115e-11
fsd-1	3.6259026302304	5.76969220955115e-11
NCU08417	2.34430131136874	5.76969220955115e-11
NCU02783	4.91597887903117	5.81091233997742e-11
NCU07906	4.79964221834638	5.81091233997742e-11
NCU03592	3.34899563191742	5.84061589135235e-11
NCU00900	4.1426521151189	5.94239651148932e-11
NCU05819	5.45672844377673	6.01320673370953e-11
plc-1	3.27993644054947	6.1486951466569e-11
NCU11347	5.94422116991419	6.21388646176536e-11
NCU09122	3.03794030115862	6.53375498716271e-11
NCU04615	2.48756730690968	6.68996608011982e-11
NCU02558	4.09359647213083	6.89422358315167e-11
NCU03274	3.95680464248109	6.96357864244282e-11
NCU03546	2.71461749491327	7.01400845954339e-11
NCU06951	5.82074839626522	7.07540995016846e-11
NCU01972	5.57568031487486	7.09264624061329e-11
NCU05185	6.17478246700768	7.13676522528351e-11
per-1	9.23052037871179	7.36425434303221e-11
NCU03433	5.96498137072808	7.36425434303221e-11
NCU01475	3.71734631657298	7.37686631828261e-11
NCU02897	4.11568754863074	7.63612961766034e-11
NCU08696	3.18700940134282	7.63612961766034e-11
NCU10258	3.3831648506782	7.63612961766034e-11
NCU06358	3.6703431252952	7.63612961766034e-11
NCU01924	3.25758601825339	7.76908637076936e-11
NCU01629	6.75370289187879	7.76908637076936e-11
NCU08680	8.60284071890199	7.76908637076936e-11
NCU04436	4.2638054043874	7.81247297184326e-11
NCU05236	8.16054792068623	7.82624173310333e-11
NCU10591	7.45385088319079	7.82624173310333e-11
NCU04170	4.53480657292342	7.82624173310333e-11
NCU04938	6.77916569375245	7.92427843083967e-11
NCU09760	4.94037908660127	7.93784380966585e-11
NCU04627	4.32424354693174	8.14349788903434e-11
NCU04014	2.23903493805752	8.70011604356379e-11
NCU08622	6.09528833757605	9.0511083709983e-11
NCU05349	3.75524744740382	9.60309840043322e-11
NCU07916	4.40507941519048	9.77936649094458e-11
NCU07480	6.82579921981736	9.80627913729363e-11
NCU00124	3.75337586249121	9.85748832401239e-11
NCU01982	3.65402092181035	9.93422596123996e-11
NCU09623	6.17726047610802	1.01290181172804e-10
NCU00604	4.28186147710203	1.01460759026321e-10
NCU04880	5.50172459227105	1.02300105628006e-10
gh47-8	6.12894404964113	1.05773119670526e-10
NCU04341	4.37220379471078	1.08718301717195e-10
