SampleID,Strain,Antibody,Condition,Treatment,Replicate,bamReads,Peaks,Peakcaller
WT_CS_K27_Rep_1,WT,H3K27me3_CS,ChIP,,1,bam_files/DiffBind/CAF/6147_136-6_ChIP_WT_H3K27me3_CS_Rep1_S6.bam,../peak_files/DiffBind/CAF-1_Paper/WT_CS_H3K27me3_Rep1_peaks.broadPeak,macs
WT_CS_K27_Rep_2,WT,H3K27me3_CS,ChIP,,2,bam_files/DiffBind/CAF/6147_136-78_ChIP_WT_H3K27me3_CS_Rep2_S77.bam,../peak_files/DiffBind/CAF-1_Paper/WT_CS_H3K27me3_Rep2_peaks.broadPeak,macs
WT_CS_K27_Rep_3,WT,H3K27me3_CS,ChIP,,3,bam_files/DiffBind/CAF/138-57_ChIP_WT_H3K27me3_Rep3_6252_S56.bam,../peak_files/DiffBind/CAF-1_Paper/WT_CS_H3K27me3_Rep3_peaks.broadPeak,macs
cac-1_CS_K27_Rep_1,cac1,H3K27me3_CS,ChIP,,1,bam_files/DiffBind/CAF/6147_136-7_ChIP_cac-1_H3K27me3_CS_Rep1_S7.bam,../peak_files/DiffBind/CAF-1_Paper/cac-1_CS_H3K27me3_Rep1_peaks.broadPeak,macs
cac-1_CS_K27_Rep_2,cac1,H3K27me3_CS,ChIP,,2,bam_files/DiffBind/CAF/6147_136-79_ChIP_cac-1_H3K27me3_CS_Rep2_S78.bam,../peak_files/DiffBind/CAF-1_Paper/cac-1_CS_H3K27me3_Rep2_peaks.broadPeak,macs
cac-1_CS_K27_Rep_3,cac1,H3K27me3_CS,ChIP,,3,bam_files/DiffBind/CAF/138-58_ChIP_cac-1_H3K27me3_Rep3_6252_S57.bam,../peak_files/DiffBind/CAF-1_Paper/cac-1_CS_H3K27me3_Rep3_peaks.broadPeak,macs
cac-2_CS_K27_Rep_1,cac2,H3K27me3_CS,ChIP,,1,bam_files/DiffBind/CAF/6147_136-8_ChIP_cac-2_H3K27me3_CS_Rep1_S8.bam,../peak_files/DiffBind/CAF-1_Paper/cac-2_CS_H3K27me3_Rep1_peaks.broadPeak,macs
cac-2_CS_K27_Rep_2,cac2,H3K27me3_CS,ChIP,,2,bam_files/DiffBind/CAF/6147_136-80_ChIP_cac-2_H3K27me3_CS_Rep2_S79.bam,../peak_files/DiffBind/CAF-1_Paper/cac-2_CS_H3K27me3_Rep2_peaks.broadPeak,macs
cac-2_CS_K27_Rep_3,cac2,H3K27me3_CS,ChIP,,3,bam_files/DiffBind/CAF/138-59_ChIP_cac-2_H3K27me3_Rep3_6252_S58.bam,../peak_files/DiffBind/CAF-1_Paper/cac-2_CS_H3K27me3_Rep3_peaks.broadPeak,macs
cac-3_CS_K27_Rep_1,cac3,H3K27me3_CS,ChIP,,1,bam_files/DiffBind/CAF/6147_136-9_ChIP_cac-3_H3K27me3_CS_Rep1_S9.bam,../peak_files/DiffBind/CAF-1_Paper/cac-3_CS_H3K27me3_Rep1_peaks.broadPeak,macs
