X	logFC	FDR
NCU07148	10.2399071828976	7.62718613309101e-13
NCU07150	8.07710066018331	7.62718613309101e-13
NCU07073	6.26536691835866	8.11612699040252e-13
ccg-9	6.63277979299802	2.51940029194836e-12
gh28-1	3.802444294693	2.51940029194836e-12
NCU01849	4.31936644522378	2.72200439416089e-12
NCU07147	7.3605153683081	2.79950474052386e-12
acw-12	4.66808648294827	3.17171864172233e-12
NCU05964	6.25484706332297	3.55143753170621e-12
NCU05173	6.52703055450352	5.51098307958168e-12
NCU02030	4.4197241571288	5.75183683340897e-12
NCU05068	4.71868831568081	5.87494584419324e-12
NCU09762	5.69901932758242	6.41341314145403e-12
NCU07218	7.78746961752157	6.41341314145403e-12
NCU05356	4.01047264494293	7.27074229534596e-12
NCU09651	4.35531743684814	7.30935181331776e-12
NCU10030	2.93359341992127	1.81648679893166e-11
NCU09287	4.21627099150695	1.81648679893166e-11
lyz	5.61779901208834	1.81648679893166e-11
NCU05546	3.19238428890676	1.83146598986826e-11
NCU09633	4.6056852107409	2.09289417587345e-11
xr	2.81183043492916	2.30482007005261e-11
NCU07138	4.7619815122497	2.39290311595355e-11
NCU11417	5.39329903017746	2.43266109220536e-11
NCU01426	3.00162702242191	3.73298715288222e-11
NCU07094	6.32538910103222	3.79713515420707e-11
NCU03771	3.71467430442456	4.218880992642e-11
NCU04209	6.23512537780741	4.218880992642e-11
NCU07934	3.28017917582201	5.40214078357083e-11
NCU09702	4.13983093248782	5.40214078357083e-11
NCU04917	6.5091960454381	5.40214078357083e-11
NCU07454	2.73077720315503	6.53317807152578e-11
NCU07217	6.6394906881103	6.53317807152578e-11
NCU03323	2.95455120847987	6.81089824223075e-11
NCU09623	6.06229589692149	8.21073434391132e-11
NCU01151	3.5074252501232	8.21073434391132e-11
NCU08347	2.77049761946392	8.27630172441513e-11
NCU02909	4.83373534627007	8.49382671187391e-11
asd-1	4.69190078436627	8.56209670088423e-11
gh28-2	4.41237020247147	9.01962717305182e-11
NCU16716	4.60306401450584	9.04905421080333e-11
NCU07226	6.07068813621091	9.04905421080333e-11
NCU12104	5.65063792789961	1.0148555634109e-10
gh7-4	5.76047559530547	1.17490705002176e-10
NCU09178	4.3480773315195	1.17958461318437e-10
NCU07107	6.01399091264555	1.24339373679292e-10
NCU09147	7.12411436800839	1.57504877974395e-10
NCU04085	4.38609629581698	1.57504877974395e-10
NCU01009	2.165645075111	1.57504877974395e-10
NCU05903	4.87908270803936	1.57504877974395e-10
dpm	2.05102917125261	1.79673937291026e-10
NCU07511	6.2809846501529	2.09338818028413e-10
NCU05291	3.1595961139751	2.10915895751145e-10
NCU07151	6.70821695266116	2.10915895751145e-10
NCU07207	5.68328005213556	2.10915895751145e-10
NCU07144	4.57484126536946	2.10925995377485e-10
NCU08521	4.72379893060238	2.10925995377485e-10
NCU07129	4.51850545546035	2.10925995377485e-10
NCU04436	4.06901097690507	2.10925995377485e-10
cdt-1	4.57182786341165	2.10925995377485e-10
NCU02179	2.77517065058111	2.15723467369579e-10
NCU08438	8.67724105428315	2.27231260672236e-10
NCU07116	4.75365850315902	2.2804065643464e-10
NCU08223	9.33700592212467	2.29083084721616e-10
NCU01972	5.31107169772157	2.30460487309834e-10
set-6	4.77788351835067	2.30460487309834e-10
NCU06735	2.26566713840533	2.69310332303173e-10
NCU04480	3.49054732973799	2.85461466592741e-10
NCU03403	3.72110367528416	2.90524507552723e-10
NCU08645	6.32230841063037	2.97880259892979e-10
NCU07359	2.84403338634935	2.98097335811947e-10
NCU17264	4.187755887133	3.1679221750916e-10
NCU08538	5.51204646627363	3.17896659938971e-10
NCU09641	3.49613715662931	3.17896659938971e-10
NCU08522	4.04659760503098	3.22924916727104e-10
NCU09637	3.47254457830809	3.22924916727104e-10
NCU08084	7.01915457403754	3.54185071304399e-10
NCU07623	5.28386194127425	3.56650840033052e-10
NCU16614	5.59492033374366	3.56650840033052e-10
ecd-2	2.97539629578824	4.07845159580143e-10
NCU07152	6.74674226127647	4.07845159580143e-10
NCU07249	5.78935969780021	4.24169123789432e-10
NCU04771	2.37365045651287	4.25907055553095e-10
NCU15834	3.4047512957727	4.55024553899303e-10
NCU08639	6.29174850540988	4.58451395319814e-10
phr	2.84255854391824	4.58451395319814e-10
NCU08523	4.06008795395234	4.58451395319814e-10
NCU11382	5.38756315605059	4.58451395319814e-10
NCU02652	3.38018215674581	4.58451395319814e-10
gh3-1	5.23240625538221	4.62291799626316e-10
NCU01781	2.30810483114791	4.62291799626316e-10
NCU07115	4.10166208347635	4.62291799626316e-10
NCU08288	3.03547418522849	5.33660999644398e-10
NCU07268	2.16006823458493	5.36032633161064e-10
NCU09491	4.43477173735136	5.41531888533579e-10
nst-7	3.99609695703712	5.42099462532906e-10
NCU08172	3.44315344160754	5.42099462532906e-10
NCU09261	2.89216373523883	5.44713027031831e-10
NCU10037	5.55853699092217	5.70494847718877e-10
NCU01092	5.21663143932061	5.85992900514859e-10
NCU07841	2.82023601735133	6.08925474748239e-10
NCU16472	3.62835928751402	6.08925474748239e-10
NCU10039	5.08621561479361	6.21075109625085e-10
NCU04914	5.38599606801589	6.34597578083837e-10
NCU07079	2.42296004178572	6.72810826908313e-10
NCU04694	5.08555380088591	7.00829547248492e-10
NCU05354	3.57501115379758	7.08972961764624e-10
NCU05846	2.87418540482469	7.08972961764624e-10
NCU10429	3.96369781194034	7.8397173485081e-10
NCU05097	4.50763227221143	7.9461001234575e-10
NCU07951	3.19424102256339	8.28672735830941e-10
NCU07074	3.59287451537087	8.28672735830941e-10
NCU08790	4.97602759710783	8.84930092888082e-10
NCU09172	5.57447163617963	9.20561256579509e-10
NCU07485	4.07547636009293	9.28094935060106e-10
NCU04205	6.39834582491559	1.03997353614231e-09
NCU01911	2.36672582581749	1.04183849387562e-09
NCU09660	5.38857272695219	1.0703606250084e-09
NCU05861	2.51385065646102	1.0703606250084e-09
NCU09010	2.15772830011379	1.0703606250084e-09
NCU08610	2.99204147164422	1.0958441043376e-09
NCU09267	3.74925226748203	1.24616433466892e-09
NCU05595	4.44007059049324	1.24616433466892e-09
NCU05848	4.38570130298466	1.34558986268394e-09
NCU09490	3.97902892628909	1.37971200668692e-09
msh4	3.71381673246147	1.37971200668692e-09
NCU07113	2.29372496962664	1.48604926186371e-09
gh10-4	5.50674678765172	1.51607124374409e-09
NCU09045	2.67480572842751	1.67336007180711e-09
NCU05466	5.5089262997595	1.72011632376142e-09
NCU00987	3.94639879697343	1.7896570131447e-09
NCU07510	5.30572188356701	1.88034537963089e-09
NCU04556	5.51313880281416	1.88034537963089e-09
NCU05094	2.77391548973744	1.91598988183097e-09
NCU05381	2.63557630808213	2.02283344689704e-09
NCU09167	8.69505135121209	2.0909554370715e-09
NCU10697	2.97066118150759	2.14777404933277e-09
NCU07769	3.33291208092625	2.75513338027758e-09
NCU10040	5.31581629988384	2.75513338027758e-09
NCU04208	3.77530989823695	2.88097053666568e-09
NCU05106	8.2858398522087	2.90196660407969e-09
NCU09632	2.19546169138654	2.99146227413522e-09
NCU01530	4.52977209589263	2.99146227413522e-09
NCU11352	2.14393190033961	3.26687509075546e-09
NCU08570	5.29730232385193	3.38399256701481e-09
NCU10285	5.49311169355656	3.44591999949052e-09
NCU05098	5.95284877409442	3.44591999949052e-09
NCU03968	2.19962214264039	3.45382506221688e-09
gh35-1	3.16544071787442	3.46760482032424e-09
NCU04920	4.72638893760899	3.47540715959351e-09
NCU07767	4.15544739136418	3.52132271277329e-09
adv-1	2.15162522502735	3.72829220108334e-09
NCU07145	7.641215750691	3.81255739356023e-09
NCU08168	2.21329444597885	3.81798283912569e-09
pin-c	2.97328589236909	3.82879718566835e-09
NCU17188	4.76618468116578	3.87453251147423e-09
NCU09494	2.79375184092533	3.91709881071078e-09
NCU08789	7.57710283743107	3.98381328451071e-09
NCU09664	5.56005875968665	4.02890268231916e-09
NCU08487	2.73831629524211	4.06599243778344e-09
stk-36	4.78267975618857	4.26364794961093e-09
NCU09639	3.38860688102948	4.27328555081167e-09
NCU09031	3.89412755728162	4.28116993445792e-09
NCU07224	4.13938650070884	4.44292390930086e-09
NCU06123	2.59625741517404	4.50509620976843e-09
NCU08630	3.78551745729524	4.56633587379104e-09
NCU00990	3.43905190734192	4.61221656018317e-09
NCU05031	3.55338788945398	4.71792272453428e-09
NCU00176	3.89218518569588	4.72882075649257e-09
NCU12051	3.51986219762643	4.83503399580594e-09
NCU00761	5.49042743083912	4.94041557168773e-09
NCU05775	2.53392886513882	4.94041557168773e-09
NCU09046	5.65739050676582	4.99038972295055e-09
NCU16688	2.87534747132679	5.10575394262573e-09
xyk-1	2.18293054201735	5.70389728387515e-09
NCU03467	4.27717499193114	5.98276456937601e-09
NCU09519	2.29440403571763	6.09186379123968e-09
NCU08330	3.52389284265555	6.15582009229202e-09
NCU04521	2.72972713758227	6.23440420442655e-09
NCU01027	5.80341644230519	6.45738582578931e-09
NCU03388	5.79481081493531	6.57731700038528e-09
NCU07644	7.78078087717051	6.70996797280273e-09
NCU00451	3.39299228961621	6.9627120394422e-09
gh2-2	3.03964937322711	7.0337829222222e-09
NCU08516	2.85591776236125	7.33770270023868e-09
NCU09568	2.68518808502	7.59522915120059e-09
NCU16720	5.94461344652105	7.79359698932591e-09
NCU05395	5.52243739614131	8.27505563363138e-09
NCU05860	3.91660611254499	8.39903767710735e-09
NCU05036	4.08415619213044	9.37451513028567e-09
NCU08431	3.80361292894628	9.63218965260019e-09
NCU09906	4.43887390004331	1.00284395579079e-08
NCU09640	6.39442370431315	1.02027096455592e-08
NCU09262	3.51195284496082	1.04996366349592e-08
NCU00774	2.14195042853479	1.0838601986057e-08
NCU05880	4.08936470827691	1.12150498725299e-08
NCU07593	5.47613060041785	1.14308207626402e-08
NCU09976	3.38705194227371	1.14308207626402e-08
NCU07652	3.44086101482747	1.15235250994166e-08
NCU02798	3.36066691368521	1.15235250994166e-08
NCU07114	2.9677547715657	1.17632765551022e-08
NCU04992	4.34961597947347	1.17632765551022e-08
NCU01385	3.80327060668697	1.26410626189928e-08
NCU08572	5.02070288659841	1.26719826776133e-08
NCU05567	7.19061255651406	1.27999576771335e-08
NCU00865	3.05399524872464	1.2949802699464e-08
tah-3	3.31973415185381	1.2953071467167e-08
asd-3	4.73770301255048	1.33590273909974e-08
NCU03404	2.16798938075956	1.35782806850745e-08
NCU08697	3.63583285311606	1.4055355767807e-08
NCU09964	4.67373193919252	1.42823111583955e-08
sah-1	2.99889656968777	1.44284999671813e-08
NCU08013	2.65188664667365	1.59068778324167e-08
NCU00314	3.029564091923	1.61128808024281e-08
NCU09171	7.20020483610637	1.62393688347285e-08
NCU08655	2.51812977281357	1.68184734779774e-08
NCU04314	3.13623182115948	1.72747894967842e-08
NCU07228	4.72775429664304	1.72747894967842e-08
NCU05417	2.97587336446274	1.81817433277738e-08
NCU16728	6.64082437542083	1.81943673018751e-08
NCU04795	2.162608174049	1.83915441548029e-08
NCU01873	3.98611554840555	1.84323099639846e-08
NCU02691	2.19542976897044	1.87730907759748e-08
NCU08432	4.73764694267448	1.87965543141223e-08
NCU08170	4.98892603926009	1.94271859487287e-08
NCU00559	2.10481356092177	2.03719524814835e-08
NCU10684	3.99737217109306	2.06347729558291e-08
NCU04882	6.47089884349626	2.06947407678034e-08
NCU00813	2.50085288537276	2.15315187813955e-08
NCU09168	6.69815133626546	2.18518686598438e-08
NCU16489	2.78347809962407	2.19653589021895e-08
NCU06373	2.62815897759967	2.19653589021895e-08
NCU04911	5.50772343182064	2.20446546584452e-08
NCU00705	2.75247525553633	2.21486993973943e-08
NCU03322	4.43996402347614	2.21486993973943e-08
NCU06937	4.84905741275813	2.22860688977202e-08
NCU05678	6.16744560545868	2.31352432619708e-08
NCU08765	5.60308706746574	2.46598401315327e-08
NCU16827	2.74087290645892	2.58130851031884e-08
NCU09197	2.60015215473704	2.58450428229045e-08
ncw-1	3.12302829282751	2.61178443529634e-08
NCU05906	2.84319093255483	2.65274688567141e-08
NCU09169	5.18055891160718	2.65274688567141e-08
NCU03426	2.83163382869681	2.66970025263845e-08
NCU02799	4.25595797806815	2.86970445599963e-08
NCU09619	2.27293719269414	2.86970445599963e-08
NCU05639	3.74504776880494	2.91994215974309e-08
NCU16942	3.42588459450103	3.00032942132129e-08
NCU10965	2.66455879165483	3.13139691805142e-08
NCU16917	4.64973523328843	3.13360579707613e-08
NCU01108	3.04602292886995	3.18831065429729e-08
NCU01487	2.20600092377767	3.25254943773836e-08
NCU16905	3.59099918865105	3.26522385446847e-08
NCU09024	4.47550751931885	3.27778172748179e-08
NCU17042	3.45255419675719	3.63271764003211e-08
NCU01509	2.20301246778874	3.63271764003211e-08
NCU09400	2.34574120594709	3.63571712380287e-08
NCU08123	3.3455162097765	3.8283165579677e-08
NCU04872	3.63538840443217	3.8300048517792e-08
NCU04088	2.42269530958834	3.90225241244287e-08
NCU08569	4.44214854975169	3.90225241244287e-08
NCU01608	3.58226950177064	3.93416705011031e-08
NCU07641	6.89235387423815	4.03778073307676e-08
laccase precursor	3.41199523809598	4.03778073307676e-08
NCU03248	2.01326433939592	4.12056838122955e-08
NCU09170	6.85297886175551	4.2230577230365e-08
NCU05394	3.73142213582606	4.28412857491005e-08
NCU00787	3.66256586405326	4.30169352174215e-08
NCU06358	2.38314393344353	4.33958225561201e-08
NCU00354	3.47282656156049	4.38991756711809e-08
NCU08691	3.48126946925031	4.55193106954159e-08
NCU09022	2.12128847972631	4.75837701545915e-08
NCU07053	7.48106597621485	4.83285754956346e-08
NCU04522	3.06933264737513	4.88671140160061e-08
NCU09636	4.23941571976596	5.03259421853144e-08
NCU02913	3.03006275612421	5.13744591481132e-08
NCU08188	3.10248788866896	5.2305304896163e-08
NCU09187	3.37472629062056	5.32500262647707e-08
NCU08146	2.75234304595422	5.55393891358958e-08
gh11-2	6.56873772601142	5.67006290498125e-08
NCU01572	2.8698814994984	5.69408810540004e-08
NCU00718	3.6195419869027	5.82389663673644e-08
NCU09966	7.33690544176843	5.82389663673644e-08
NCU05550	2.08045248551625	5.848056499701e-08
hak-1	4.42263325105929	5.90736711157366e-08
NCU05534	5.64785450325195	5.92182664580768e-08
NCU16529	3.28694452664903	5.9403124674985e-08
NCU05819	3.44832965931987	6.0180963876346e-08
NCU07495	2.02670346068041	6.03886710725831e-08
NCU07162	2.4232950495753	6.18276792471256e-08
NCU08070	2.13718505202496	6.30607191654461e-08
NCU07479	4.69202475895026	6.33549656168197e-08
NCU09293	3.25106674024173	6.51434000917726e-08
NCU05138	3.44458610721201	6.65083174913707e-08
