"SequenceID","Source","FeatureType","FeatureStart","FeatureEnd","Score","Strand","Phase","Attributes","VALUE"
"CM002242.1","Genbank","gene",3746488,3747488,".","+",".","NCU17270","NCU17270"
"CM002242.1","Genbank","gene",3747718,3750205,".","-",".","NCU17271","NCU17271"
"CM002242.1","Genbank","gene",3664875,3665832,".","+",".","NCU17264","NCU17264"
"CM002242.1","Genbank","gene",3738965,3740362,".","-",".","NCU17267","NCU17267"
"CM002242.1","Genbank","gene",3742302,3743489,".","+",".","NCU17268","NCU17268"
"CM002242.1","Genbank","gene",3743514,3746097,".","-",".","NCU17269","NCU17269"
"CM002242.1","Genbank","gene",2894401,2895725,".","-",".","NCU17244","NCU17244"
"CM002242.1","Genbank","gene",2963828,2966350,".","+",".","NCU17247","NCU17247"
"CM002242.1","Genbank","gene",3036814,3038035,".","-",".","NCU17249","NCU17249"
"CM002242.1","Genbank","gene",2579873,2580817,".","+",".","NCU17230","NCU17230"
"CM002242.1","Genbank","gene",1594421,1595092,".","-",".","NCU17202","NCU17202"
"CM002242.1","Genbank","gene",1595453,1596341,".","-",".","NCU17203","NCU17203"
"CM002242.1","Genbank","gene",1186703,1187787,".","-",".","NCU17187","NCU17187"
"CM002242.1","Genbank","gene",719122,719706,".","+",".","NCU17172","NCU17172"
"CM002242.1","Genbank","gene",99718,100518,".","-",".","NCU17157","NCU17157"
"CM002241.1","Genbank","gene",3294468,3295683,".","+",".","NCU17127","NCU17127"
"CM002241.1","Genbank","gene",1830187,1833198,".","-",".","NCU17105","NCU17105"
"CM002241.1","Genbank","gene",1323216,1324222,".","-",".","NCU17087","NCU17087"
"CM002241.1","Genbank","gene",406644,408368,".","+",".","NCU17064","NCU17064"
"CM002240.1","Genbank","gene",6435237,6435860,".","+",".","NCU17054","NCU17054"
"CM002240.1","Genbank","gene",6100092,6100997,".","-",".","NCU17043","NCU17043"
"CM002240.1","Genbank","gene",5500908,5502424,".","-",".","NCU17032","NCU17032"
"CM002240.1","Genbank","gene",3733021,3734433,".","+",".","NCU16998","NCU16998"
"CM002240.1","Genbank","gene",1665694,1666617,".","-",".","NCU16960","NCU16960"
"CM002240.1","Genbank","gene",847716,848306,".","+",".","NCU16940","NCU16940"
"CM002240.1","Genbank","gene",543857,545752,".","-",".","NCU16925","NCU16925"
"CM002240.1","Genbank","gene",642040,642719,".","+",".","NCU16926","NCU16926"
"CM002240.1","Genbank","gene",657738,659487,".","+",".","NCU16929","NCU16929"
"CM002240.1","Genbank","gene",123876,126548,".","+",".","NCU16913","NCU16913"
"CM002239.1","Genbank","gene",5946299,5947549,".","+",".","NCU16906","NCU16906"
"CM002239.1","Genbank","gene",5096650,5097060,".","+",".","NCU16876","NCU16876"
"CM002239.1","Genbank","gene",4363329,4364696,".","+",".","NCU16846","NCU16846"
"CM002239.1","Genbank","gene",3832552,3833344,".","+",".","NCU16823","NCU16823"
"CM002239.1","Genbank","gene",3192552,3193545,".","-",".","NCU16805","NCU16805"
"CM002239.1","Genbank","gene",828477,829178,".","+",".","NCU16746","NCU16746"
"CM002239.1","Genbank","gene",597156,597810,".","-",".","NCU16738","NCU16738"
"CM002239.1","Genbank","gene",103519,106130,".","+",".","NCU16720","NCU16720"
"CM002239.1","Genbank","gene",360310,360701,".","+",".","NCU16728","NCU16728"
"CM002238.1","Genbank","gene",5159804,5160637,".","-",".","NCU16714","NCU16714"
"CM002238.1","Genbank","gene",4825346,4825846,".","-",".","NCU16705","NCU16705"
"CM002238.1","Genbank","gene",4467880,4469161,".","+",".","NCU16695","NCU16695"
"CM002238.1","Genbank","gene",3224517,3225951,".","+",".","NCU16673","NCU16673"
"CM002238.1","Genbank","gene",1545160,1546299,".","+",".","NCU16632","NCU16632"
"CM002238.1","Genbank","gene",1546925,1547737,".","+",".","NCU16633","NCU16633"
"CM002238.1","Genbank","gene",1213529,1215473,".","+",".","NCU16624","NCU16624"
"CM002238.1","Genbank","gene",539313,539775,".","+",".","NCU16616","NCU16616"
"CM002237.1","Genbank","gene",4298463,4299228,".","+",".","NCU16600","NCU16600"
"CM002237.1","Genbank","gene",3966237,3967930,".","-",".","NCU16588","NCU16588"
"CM002237.1","Genbank","gene",3088597,3089250,".","-",".","NCU16567","NCU16567"
"CM002237.1","Genbank","gene",1696239,1696830,".","-",".","NCU16540","NCU16540"
"CM002237.1","Genbank","gene",1693425,1694798,".","-",".","NCU16538","NCU16538"
"CM002237.1","Genbank","gene",1695026,1696015,".","-",".","NCU16539","NCU16539"
"CM002236.1","Genbank","gene",8874065,8875337,".","-",".","NCU16482","NCU16482"
"CM002236.1","Genbank","gene",8876110,8877138,".","-",".","NCU16483","NCU16483"
"CM002236.1","Genbank","gene",8985309,8986258,".","-",".","NCU16488","NCU16488"
"CM002236.1","Genbank","gene",8727314,8728636,".","-",".","NCU16474","NCU16474"
"CM002236.1","Genbank","gene",7250876,7251638,".","+",".","NCU16440","NCU16440"
"CM002236.1","Genbank","gene",7250164,7250745,".","-",".","NCU16439","NCU16439"
"CM002236.1","Genbank","gene",5607037,5608244,".","-",".","NCU16402","NCU16402"
"CM002236.1","Genbank","gene",5366387,5369375,".","-",".","NCU16396","NCU16396"
"CM002236.1","Genbank","gene",2189357,2190409,".","-",".","NCU16350","NCU16350"
"CM002236.1","Genbank","gene",1771034,1773687,".","+",".","NCU16341","NCU16341"
"CM002236.1","Genbank","gene",1978041,1978736,".","+",".","NCU16344","NCU16344"
"CM002236.1","Genbank","gene",1362277,1362797,".","+",".","NCU16334","NCU16334"
"CM002236.1","Genbank","gene",1031190,1031840,".","+",".","NCU16327","NCU16327"
"KC683708.1","Genbank","gene",6083,6892,".","+",".","NCU16003","NCU16003"
"CM002241.1","Genbank","gene",4138769,4139696,".","-",".","NCU12154","NCU12154"
"CM002241.1","Genbank","gene",1647245,1648153,".","-",".","NCU12100","NCU12100"
"CM002241.1","Genbank","gene",408408,409970,".","+",".","NCU12075","NCU12075"
"CM002241.1","Genbank","gene",432497,433014,".","+",".","NCU12076","NCU12076"
"CM002241.1","Genbank","gene",151704,153543,".","+",".","NCU12068","NCU12068"
"CM002241.1","Genbank","gene",155205,156962,".","+",".","NCU12069","NCU12069"
"CM002242.1","Genbank","gene",300538,300999,".","+",".","NCU12052","NCU12052"
"CM002242.1","Genbank","gene",306376,307498,".","-",".","NCU12051","NCU12051"
"CM002242.1","Genbank","gene",307544,308581,".","-",".","NCU12050","NCU12050"
"CM002242.1","Genbank","gene",706753,707589,".","+",".","NCU12045","NCU12045"
"CM002242.1","Genbank","gene",1224414,1225733,".","+",".","NCU12028","NCU12028"
"CM002242.1","Genbank","gene",1415448,1417035,".","-",".","NCU12025","NCU12025"
"CM002242.1","Genbank","gene",73707,75531,".","+",".","NCU11411","NCU11411"
"CM002238.1","Genbank","gene",85931,89527,".","-",".","NCU11405","NCU11405"
"CM002242.1","Genbank","gene",3659955,3662006,".","+",".","NCU11383","NCU11383"
"CM002239.1","Genbank","gene",191867,194669,".","+",".","NCU11365","NCU11365"
"CM002239.1","Genbank","gene",193862,195389,".","-",".","NCU11364","NCU11364"
"CM002239.1","Genbank","gene",195504,197458,".","+",".","NCU11363","NCU11363"
"CM002238.1","Genbank","gene",540378,541754,".","+",".","NCU11356","NCU11356"
"CM002237.1","Genbank","gene",1872466,1873199,".","-",".","NCU11340","NCU11340"
"CM002238.1","Genbank","gene",1470129,1472531,".","+",".","NCU11320","NCU11320"
"CM002238.1","Genbank","gene",4631535,4633728,".","+",".","NCU11286","NCU11286"
"CM002238.1","Genbank","gene",5141444,5142693,".","-",".","NCU11289","NCU11289"
"CM002236.1","Genbank","gene",15930,16647,".","+",".","NCU11134","NCU11134"
"CM002237.1","Genbank","gene",588432,589402,".","-",".","NCU11054","NCU11054"
"CM002240.1","Genbank","gene",399500,400274,".","+",".","NCU11038","NCU11038"
"CM002242.1","Genbank","gene",2069932,2070622,".","+",".","NCU11006","NCU11006"
"CM002240.1","Genbank","gene",1263117,1263867,".","+",".","NCU10799","NCU10799"
