"SequenceID","Source","FeatureType","FeatureStart","FeatureEnd","Score","Strand","Phase","Attributes","VALUE"
"CM002240.1","Genbank","gene",6435237,6435860,".","+",".","NCU17054","NCU17054"
"CM002241.1","Genbank","gene",26616,28474,".","-",".","NCU17055","NCU17055"
"CM002240.1","Genbank","gene",6087154,6088614,".","-",".","NCU17042","NCU17042"
"CM002240.1","Genbank","gene",6100092,6100997,".","-",".","NCU17043","NCU17043"
"CM002240.1","Genbank","gene",642040,642719,".","+",".","NCU16926","NCU16926"
"CM002240.1","Genbank","gene",657738,659487,".","+",".","NCU16929","NCU16929"
"CM002239.1","Genbank","gene",5946299,5947549,".","+",".","NCU16906","NCU16906"
"CM002239.1","Genbank","gene",759594,760596,".","-",".","NCU16744","NCU16744"
"CM002239.1","Genbank","gene",597156,597810,".","-",".","NCU16738","NCU16738"
"CM002239.1","Genbank","gene",103519,106130,".","+",".","NCU16720","NCU16720"
"CM002239.1","Genbank","gene",360310,360701,".","+",".","NCU16728","NCU16728"
"CM002238.1","Genbank","gene",5228166,5229513,".","-",".","NCU16716","NCU16716"
"CM002238.1","Genbank","gene",4725647,4726429,".","-",".","NCU16701","NCU16701"
"CM002238.1","Genbank","gene",4809123,4810856,".","+",".","NCU16704","NCU16704"
"CM002238.1","Genbank","gene",4825346,4825846,".","-",".","NCU16705","NCU16705"
"CM002241.1","Genbank","gene",151704,153543,".","+",".","NCU12068","NCU12068"
"CM002241.1","Genbank","gene",155205,156962,".","+",".","NCU12069","NCU12069"
"CM002242.1","Genbank","gene",306376,307498,".","-",".","NCU12051","NCU12051"
"CM002242.1","Genbank","gene",706753,707589,".","+",".","NCU12045","NCU12045"
"CM002242.1","Genbank","gene",714757,715446,".","+",".","NCU12044","NCU12044"
"CM002242.1","Genbank","gene",923740,924601,".","+",".","NCU12039","NCU12039"
"CM002239.1","Genbank","gene",193862,195389,".","-",".","NCU11364","NCU11364"
"CM002239.1","Genbank","gene",195504,197458,".","+",".","NCU11363","NCU11363"
"CM002238.1","Genbank","gene",4631535,4633728,".","+",".","NCU11286","NCU11286"
"CM002236.1","Genbank","gene",15930,16647,".","+",".","NCU11134","NCU11134"
"CM002239.1","Genbank","gene",588839,589543,".","-",".","NCU10644","NCU10644"
"CM002242.1","Genbank","gene",312100,313727,".","-",".","NCU10539","NCU10539"
"CM002236.1","Genbank","gene",91324,92593,".","+",".","NCU10501","NCU10501"
"CM002239.1","Genbank","gene",591011,591907,".","+",".","NCU10502","NCU10502"
"CM002238.1","Genbank","gene",5247940,5248821,".","-",".","NCU10427","NCU10427"
"CM002241.1","Genbank","gene",342337,344310,".","-",".","NCU10344","NCU10344"
"CM002238.1","Genbank","gene",4657091,4658449,".","-",".","NCU10210","NCU10210"
"CM002236.1","Genbank","gene",1151,2878,".","-",".","NCU10129","NCU10129"
"CM002236.1","Genbank","gene",9770841,9772169,".","-",".","NCU10031","NCU10031"
"CM002239.1","Genbank","gene",5941405,5943417,".","+",".","NCU10039","NCU10039"
"CM002239.1","Genbank","gene",5943563,5945207,".","+",".","NCU10038","NCU10038"
"CM002239.1","Genbank","gene",5949691,5951318,".","+",".","NCU10037","NCU10037"
"CM002236.1","Genbank","gene",9759597,9762612,".","+",".","NCU10027","NCU10027"
"CM002240.1","Genbank","gene",6064588,6066000,".","-",".","NCU09966","NCU09966"
"CM002240.1","Genbank","gene",6032208,6032868,".","-",".","NCU09952","NCU09952"
"CM002240.1","Genbank","gene",6027730,6028640,".","-",".","NCU09949","NCU09949"
"CM002239.1","Genbank","gene",5250089,5250952,".","-",".","NCU09939","NCU09939"
"CM002236.1","Genbank","gene",59146,61150,".","+",".","NCU09913","NCU09913"
"CM002236.1","Genbank","gene",40950,42632,".","-",".","NCU09907","NCU09907"
"CM002236.1","Genbank","gene",43709,44551,".","-",".","NCU09908","NCU09908"
"CM002240.1","Genbank","gene",560619,561578,".","-",".","NCU09834","NCU09834"
"CM002240.1","Genbank","gene",564305,564806,".","-",".","NCU09835","NCU09835"
"CM002240.1","Genbank","gene",567157,568335,".","-",".","NCU09836","NCU09836"
"CM002240.1","Genbank","gene",571752,573454,".","+",".","NCU09837","NCU09837"
"CM002242.1","Genbank","gene",1346414,1348059,".","+",".","NCU09726","NCU09726"
"CM002242.1","Genbank","gene",1353460,1355271,".","+",".","NCU09724","NCU09724"
"CM002239.1","Genbank","gene",101673,102330,".","+",".","NCU09660","NCU09660"
"CM002239.1","Genbank","gene",111999,112997,".","-",".","NCU09665","NCU09665"
"CM002239.1","Genbank","gene",55579,56712,".","+",".","NCU09645","NCU09645"
"CM002237.1","Genbank","gene",8927,11029,".","-",".","NCU09634","NCU09634"
"CM002237.1","Genbank","gene",11642,12594,".","+",".","NCU09633","NCU09633"
"CM002237.1","Genbank","gene",12521,13311,".","-",".","NCU09632","NCU09632"
"CM002237.1","Genbank","gene",15943,18173,".","-",".","NCU09631","NCU09631"
"CM002237.1","Genbank","gene",19042,19908,".","+",".","NCU09630","NCU09630"
"CM002239.1","Genbank","gene",19910,21754,".","-",".","NCU09639","NCU09639"
"CM002237.1","Genbank","gene",34371,35627,".","-",".","NCU09623","NCU09623"
"CM002237.1","Genbank","gene",51943,53778,".","+",".","NCU09613","NCU09613"
"CM002237.1","Genbank","gene",73202,74342,".","-",".","NCU09604","NCU09604"
"CM002237.1","Genbank","gene",76425,78257,".","+",".","NCU09603","NCU09603"
"CM002237.1","Genbank","gene",107020,108114,".","+",".","NCU09593","NCU09593"
