"SequenceID","Source","FeatureType","FeatureStart","FeatureEnd","Score","Strand","Phase","Attributes","VALUE"
"CM002242.1","Genbank","gene",4109283,4110535,".","+",".","NCU17282","NCU17282"
"CM002242.1","Genbank","gene",4110659,4111130,".","+",".","NCU17283","NCU17283"
"CM002242.1","Genbank","gene",3650708,3651925,".","-",".","NCU17263","NCU17263"
"CM002242.1","Genbank","gene",1181959,1182785,".","+",".","NCU17185","NCU17185"
"CM002240.1","Genbank","gene",6362123,6362862,".","-",".","NCU17050","NCU17050"
"CM002240.1","Genbank","gene",6377018,6377882,".","+",".","NCU17051","NCU17051"
"CM002240.1","Genbank","gene",346416,347139,".","-",".","NCU16918","NCU16918"
"CM002239.1","Genbank","gene",5834812,5836862,".","-",".","NCU16901","NCU16901"
"CM002239.1","Genbank","gene",5913829,5914260,".","-",".","NCU16904","NCU16904"
"CM002239.1","Genbank","gene",4416840,4417658,".","-",".","NCU16852","NCU16852"
"CM002239.1","Genbank","gene",4119778,4120792,".","+",".","NCU16834","NCU16834"
"CM002239.1","Genbank","gene",1308218,1308992,".","-",".","NCU16755","NCU16755"
"CM002239.1","Genbank","gene",221211,223907,".","+",".","NCU16725","NCU16725"
"CM002238.1","Genbank","gene",3095962,3097269,".","-",".","NCU16670","NCU16670"
"CM002237.1","Genbank","gene",4132288,4133283,".","-",".","NCU16591","NCU16591"
"CM002237.1","Genbank","gene",4216986,4218423,".","+",".","NCU16596","NCU16596"
"CM002237.1","Genbank","gene",4223914,4227106,".","+",".","NCU16597","NCU16597"
"CM002237.1","Genbank","gene",436772,437506,".","+",".","NCU16502","NCU16502"
"CM002236.1","Genbank","gene",8723311,8723801,".","+",".","NCU16473","NCU16473"
"CM002236.1","Genbank","gene",7648040,7649400,".","+",".","NCU16445","NCU16445"
"CM002236.1","Genbank","gene",6243420,6244337,".","-",".","NCU16411","NCU16411"
"CM002236.1","Genbank","gene",6506885,6508134,".","-",".","NCU16419","NCU16419"
"CM002236.1","Genbank","gene",5728526,5730503,".","-",".","NCU16405","NCU16405"
"CM002236.1","Genbank","gene",5427659,5428136,".","+",".","NCU16398","NCU16398"
"CM002236.1","Genbank","gene",3461062,3461945,".","+",".","NCU16375","NCU16375"
"CM002236.1","Genbank","gene",2246768,2247766,".","-",".","NCU16353","NCU16353"
"CM002236.1","Genbank","gene",2100119,2100880,".","+",".","NCU16348","NCU16348"
"CM002236.1","Genbank","gene",2166496,2167240,".","+",".","NCU16349","NCU16349"
"CM002236.1","Genbank","gene",980957,982105,".","-",".","NCU16323","NCU16323"
"CM002238.1","Genbank","gene",4316482,4319891,".","-",".","NCU15832","NCU15832"
"CM002241.1","Genbank","gene",3160756,3162230,".","-",".","NCU12126","NCU12126"
"CM002238.1","Genbank","gene",4153185,4155410,".","+",".","NCU11399","NCU11399"
"CM002238.1","Genbank","gene",1958844,1959898,".","-",".","NCU11313","NCU11313"
"CM002238.1","Genbank","gene",5268653,5269619,".","-",".","NCU11291","NCU11291"
"CM002236.1","Genbank","gene",7318856,7321215,".","-",".","NCU11095","NCU11095"
"CM002241.1","Genbank","gene",3400817,3401391,".","-",".","NCU11059","NCU11059"
"CM002240.1","Genbank","gene",699366,700976,".","-",".","NCU11046","NCU11046"
"CM002241.1","Genbank","gene",3593385,3597540,".","-",".","NCU10883","NCU10883"
"CM002242.1","Genbank","gene",1449282,1451069,".","-",".","NCU10865","NCU10865"
"CM002236.1","Genbank","gene",5374803,5378088,".","+",".","NCU10852","NCU10852"
"CM002237.1","Genbank","gene",4312939,4316864,".","-",".","NCU10809","NCU10809"
"CM002241.1","Genbank","gene",4119187,4122396,".","-",".","NCU10597","NCU10597"
"CM002239.1","Genbank","gene",31868,33628,".","+",".","NCU10572","NCU10572"
"CM002238.1","Genbank","gene",5235112,5236734,".","-",".","NCU10567","NCU10567"
"CM002236.1","Genbank","gene",5250694,5251817,".","-",".","NCU10507","NCU10507"
"CM002237.1","Genbank","gene",2899017,2900334,".","-",".","NCU10404","NCU10404"
"CM002240.1","Genbank","gene",3109666,3112538,".","+",".","NCU10359","NCU10359"
"CM002240.1","Genbank","gene",1454126,1456888,".","-",".","NCU10091","NCU10091"
"CM002236.1","Genbank","gene",3049615,3054129,".","-",".","NCU10075","NCU10075"
"CM002240.1","Genbank","gene",5697544,5699666,".","-",".","NCU10077","NCU10077"
"CM002236.1","Genbank","gene",9770841,9772169,".","-",".","NCU10031","NCU10031"
"CM002236.1","Genbank","gene",2361425,2362324,".","+",".","NCU09976","NCU09976"
"CM002240.1","Genbank","gene",6058227,6058877,".","+",".","NCU09964","NCU09964"
"CM002240.1","Genbank","gene",6023508,6024661,".","+",".","NCU09947","NCU09947"
"CM002236.1","Genbank","gene",17441,19615,".","+",".","NCU09904","NCU09904"
"CM002236.1","Genbank","gene",34981,39245,".","+",".","NCU09906","NCU09906"
"CM002240.1","Genbank","gene",552089,554908,".","+",".","NCU09832","NCU09832"
"CM002240.1","Genbank","gene",577823,579794,".","-",".","NCU09839","NCU09839"
"CM002241.1","Genbank","gene",1142553,1145119,".","+",".","NCU09792","NCU09792"
"CM002237.1","Genbank","gene",4269308,4270336,".","+",".","NCU09775","NCU09775"
"CM002237.1","Genbank","gene",4291182,4291996,".","+",".","NCU09768","NCU09768"
"CM002237.1","Genbank","gene",4317187,4321936,".","+",".","NCU09760","NCU09760"
"CM002237.1","Genbank","gene",4330822,4336743,".","+",".","NCU09758","NCU09758"
"CM002240.1","Genbank","gene",812314,813917,".","+",".","NCU09694","NCU09694"
"CM002240.1","Genbank","gene",815771,817560,".","+",".","NCU09693","NCU09693"
"CM002240.1","Genbank","gene",868101,871482,".","+",".","NCU09677","NCU09677"
"CM002239.1","Genbank","gene",108982,109942,".","-",".","NCU09664","NCU09664"
"CM002237.1","Genbank","gene",40799,41401,".","-",".","NCU09619","NCU09619"
"CM002237.1","Genbank","gene",41526,42883,".","-",".","NCU09617","NCU09617"
"CM002237.1","Genbank","gene",46017,49683,".","+",".","NCU09615","NCU09615"
"CM002237.1","Genbank","gene",57518,58796,".","+",".","NCU09611","NCU09611"
"CM002242.1","Genbank","gene",952698,956090,".","-",".","NCU09575","NCU09575"
"CM002242.1","Genbank","gene",964514,966047,".","+",".","NCU09572","NCU09572"
"CM002240.1","Genbank","gene",4493702,4495126,".","-",".","NCU09532","NCU09532"
"CM002240.1","Genbank","gene",4497013,4498837,".","+",".","NCU09533","NCU09533"
"CM002240.1","Genbank","gene",4498734,4499929,".","-",".","NCU09534","NCU09534"
"CM002240.1","Genbank","gene",4500797,4503215,".","+",".","NCU09535","NCU09535"
"CM002238.1","Genbank","gene",57807,60112,".","+",".","NCU09511","NCU09511"
"CM002238.1","Genbank","gene",103971,107924,".","-",".","NCU09502","NCU09502"
"CM002237.1","Genbank","gene",4451075,4452364,".","-",".","NCU09491","NCU09491"
"CM002242.1","Genbank","gene",1173596,1175261,".","-",".","NCU09422","NCU09422"
"CM002242.1","Genbank","gene",1177940,1181465,".","-",".","NCU09419","NCU09419"
"CM002237.1","Genbank","gene",4219386,4223547,".","-",".","NCU09355","NCU09355"
"CM002237.1","Genbank","gene",4227535,4229791,".","-",".","NCU09356","NCU09356"
"CM002237.1","Genbank","gene",4170238,4171479,".","+",".","NCU09342","NCU09342"
"CM002237.1","Genbank","gene",4129416,4133255,".","+",".","NCU09335","NCU09335"
"CM002236.1","Genbank","gene",4272048,4276396,".","+",".","NCU09316","NCU09316"
"CM002242.1","Genbank","gene",62964,63785,".","-",".","NCU09289","NCU09289"
"CM002236.1","Genbank","gene",9351481,9354965,".","+",".","NCU09267","NCU09267"
"CM002236.1","Genbank","gene",9392348,9397527,".","-",".","NCU09253","NCU09253"
"CM002236.1","Genbank","gene",9399033,9403859,".","-",".","NCU09252","NCU09252"
"CM002236.1","Genbank","gene",9444660,9448137,".","+",".","NCU09240","NCU09240"
"CM002236.1","Genbank","gene",5822712,5824867,".","+",".","NCU09204","NCU09204"
"CM002238.1","Genbank","gene",274859,275686,".","+",".","NCU09181","NCU09181"
"CM002238.1","Genbank","gene",276773,277640,".","+",".","NCU09182","NCU09182"
"CM002238.1","Genbank","gene",277684,279201,".","-",".","NCU09183","NCU09183"
"CM002238.1","Genbank","gene",287851,290825,".","-",".","NCU09187","NCU09187"
"CM002238.1","Genbank","gene",292003,295031,".","+",".","NCU09188","NCU09188"
"CM002238.1","Genbank","gene",239408,241233,".","+",".","NCU09170","NCU09170"
"CM002238.1","Genbank","gene",257676,259807,".","+",".","NCU09175","NCU09175"
"CM002238.1","Genbank","gene",189369,191716,".","+",".","NCU09156","NCU09156"
"CM002236.1","Genbank","gene",5420985,5422262,".","-",".","NCU09124","NCU09124"
"CM002236.1","Genbank","gene",5423475,5425121,".","+",".","NCU09125","NCU09125"
"CM002236.1","Genbank","gene",5379535,5382753,".","+",".","NCU09115","NCU09115"
"CM002236.1","Genbank","gene",766238,767152,".","-",".","NCU09075","NCU09075"
"CM002236.1","Genbank","gene",774193,780044,".","-",".","NCU09079","NCU09079"
"CM002236.1","Genbank","gene",747758,750244,".","-",".","NCU09069","NCU09069"
"CM002242.1","Genbank","gene",431020,432418,".","+",".","NCU09043","NCU09043"
