"SequenceID","Source","FeatureType","FeatureStart","FeatureEnd","Score","Strand","Phase","Attributes","VALUE"
"CM002242.1","Genbank","gene",56583,58151,".","-",".","NCU17155","NCU17155"
"CM002241.1","Genbank","gene",3960928,3961491,".","+",".","NCU17145","NCU17145"
"CM002241.1","Genbank","gene",1267574,1269860,".","-",".","NCU17083","NCU17083"
"CM002240.1","Genbank","gene",6297460,6298740,".","+",".","NCU17048","NCU17048"
"CM002240.1","Genbank","gene",6336476,6337367,".","+",".","NCU17049","NCU17049"
"CM002240.1","Genbank","gene",3636465,3637061,".","-",".","NCU16997","NCU16997"
"CM002240.1","Genbank","gene",346416,347139,".","-",".","NCU16918","NCU16918"
"CM002239.1","Genbank","gene",4763154,4765057,".","+",".","NCU16867","NCU16867"
"CM002239.1","Genbank","gene",4119778,4120792,".","+",".","NCU16834","NCU16834"
"CM002239.1","Genbank","gene",3892553,3893126,".","+",".","NCU16826","NCU16826"
"CM002239.1","Genbank","gene",3424251,3425392,".","+",".","NCU16818","NCU16818"
"CM002238.1","Genbank","gene",3666673,3667388,".","+",".","NCU16680","NCU16680"
"CM002238.1","Genbank","gene",3467354,3468943,".","+",".","NCU16678","NCU16678"
"CM002238.1","Genbank","gene",2091106,2093298,".","-",".","NCU16646","NCU16646"
"CM002238.1","Genbank","gene",656304,657202,".","+",".","NCU16618","NCU16618"
"CM002237.1","Genbank","gene",4223914,4227106,".","+",".","NCU16597","NCU16597"
"CM002237.1","Genbank","gene",3819380,3820224,".","+",".","NCU16583","NCU16583"
"CM002236.1","Genbank","gene",8718768,8722839,".","+",".","NCU16472","NCU16472"
"CM002236.1","Genbank","gene",7937905,7939312,".","+",".","NCU16450","NCU16450"
"CM002236.1","Genbank","gene",7648040,7649400,".","+",".","NCU16445","NCU16445"
"CM002236.1","Genbank","gene",5728526,5730503,".","-",".","NCU16405","NCU16405"
"CM002236.1","Genbank","gene",5107530,5108196,".","-",".","NCU16392","NCU16392"
"CM002236.1","Genbank","gene",4196188,4198145,".","-",".","NCU16380","NCU16380"
"CM002236.1","Genbank","gene",4485645,4486914,".","-",".","NCU16384","NCU16384"
"CM002236.1","Genbank","gene",4734887,4735838,".","+",".","NCU16387","NCU16387"
"KC683708.1","Genbank","gene",49797,50342,".","+",".","NCU16022","NCU16022"
"KC683708.1","Genbank","gene",27595,32288,".","+",".","NCU16012","NCU16012"
"KC683708.1","Genbank","gene",973,1944,".","+",".","NCU16002","NCU16002"
"KC683708.1","Genbank","gene",21341,23092,".","+",".","NCU16006","NCU16006"
"CM002238.1","Genbank","gene",4316482,4319891,".","-",".","NCU15832","NCU15832"
"CM002239.1","Genbank","gene",4608333,4609578,".","+",".","NCU11346","NCU11346"
"CM002237.1","Genbank","gene",1406367,1408806,".","+",".","NCU11331","NCU11331"
"CM002236.1","Genbank","gene",5710066,5715076,".","-",".","NCU11324","NCU11324"
"CM002239.1","Genbank","gene",1534018,1537164,".","-",".","NCU11322","NCU11322"
"CM002240.1","Genbank","gene",2156713,2157610,".","+",".","NCU11260","NCU11260"
