"SequenceID","Source","FeatureType","FeatureStart","FeatureEnd","Score","Strand","Phase","Attributes","VALUE"
"CM002242.1","Genbank","gene",3746488,3747488,".","+",".","NCU17270","NCU17270"
"CM002242.1","Genbank","gene",3786560,3787520,".","-",".","NCU17272","NCU17272"
"CM002242.1","Genbank","gene",3837768,3838603,".","-",".","NCU17274","NCU17274"
"CM002242.1","Genbank","gene",3738965,3740362,".","-",".","NCU17267","NCU17267"
"CM002242.1","Genbank","gene",3742302,3743489,".","+",".","NCU17268","NCU17268"
"CM002242.1","Genbank","gene",3743514,3746097,".","-",".","NCU17269","NCU17269"
"CM002242.1","Genbank","gene",3524105,3525592,".","-",".","NCU17257","NCU17257"
"CM002242.1","Genbank","gene",2886120,2888898,".","+",".","NCU17240","NCU17240"
"CM002242.1","Genbank","gene",2894401,2895725,".","-",".","NCU17244","NCU17244"
"CM002242.1","Genbank","gene",2014369,2015471,".","-",".","NCU17224","NCU17224"
"CM002242.1","Genbank","gene",1594421,1595092,".","-",".","NCU17202","NCU17202"
"CM002242.1","Genbank","gene",1595453,1596341,".","-",".","NCU17203","NCU17203"
"CM002242.1","Genbank","gene",1186703,1187787,".","-",".","NCU17187","NCU17187"
"CM002242.1","Genbank","gene",99718,100518,".","-",".","NCU17157","NCU17157"
"CM002241.1","Genbank","gene",3294468,3295683,".","+",".","NCU17127","NCU17127"
"CM002241.1","Genbank","gene",1830187,1833198,".","-",".","NCU17105","NCU17105"
"CM002241.1","Genbank","gene",1323216,1324222,".","-",".","NCU17087","NCU17087"
"CM002241.1","Genbank","gene",508922,509949,".","-",".","NCU17067","NCU17067"
"CM002240.1","Genbank","gene",6409845,6410837,".","-",".","NCU17053","NCU17053"
"CM002240.1","Genbank","gene",6435237,6435860,".","+",".","NCU17054","NCU17054"
"CM002241.1","Genbank","gene",26616,28474,".","-",".","NCU17055","NCU17055"
"CM002240.1","Genbank","gene",6087154,6088614,".","-",".","NCU17042","NCU17042"
"CM002240.1","Genbank","gene",6100092,6100997,".","-",".","NCU17043","NCU17043"
"CM002240.1","Genbank","gene",6152072,6153094,".","+",".","NCU17044","NCU17044"
"CM002240.1","Genbank","gene",847716,848306,".","+",".","NCU16940","NCU16940"
"CM002240.1","Genbank","gene",846343,846893,".","+",".","NCU16939","NCU16939"
"CM002240.1","Genbank","gene",543857,545752,".","-",".","NCU16925","NCU16925"
"CM002240.1","Genbank","gene",642040,642719,".","+",".","NCU16926","NCU16926"
"CM002240.1","Genbank","gene",657738,659487,".","+",".","NCU16929","NCU16929"
"CM002240.1","Genbank","gene",123876,126548,".","+",".","NCU16913","NCU16913"
"CM002240.1","Genbank","gene",239110,239682,".","+",".","NCU16916","NCU16916"
"CM002239.1","Genbank","gene",5946299,5947549,".","+",".","NCU16906","NCU16906"
"CM002239.1","Genbank","gene",3832552,3833344,".","+",".","NCU16823","NCU16823"
"CM002239.1","Genbank","gene",2405543,2407336,".","+",".","NCU16789","NCU16789"
"CM002239.1","Genbank","gene",2236501,2240444,".","+",".","NCU16779","NCU16779"
"CM002239.1","Genbank","gene",1401245,1403435,".","+",".","NCU16757","NCU16757"
"CM002239.1","Genbank","gene",655051,656598,".","-",".","NCU16740","NCU16740"
"CM002239.1","Genbank","gene",759594,760596,".","-",".","NCU16744","NCU16744"
