"SequenceID","Source","FeatureType","FeatureStart","FeatureEnd","Score","Strand","Phase","Attributes","VALUE"
"CM002242.1","Genbank","gene",925045,925845,".","+",".","NCU17180","NCU17180"
"CM002242.1","Genbank","gene",928381,928873,".","+",".","NCU17181","NCU17181"
"CM002242.1","Genbank","gene",672097,672603,".","-",".","NCU17170","NCU17170"
"CM002242.1","Genbank","gene",719122,719706,".","+",".","NCU17172","NCU17172"
"CM002242.1","Genbank","gene",241507,241878,".","-",".","NCU17161","NCU17161"
"CM002241.1","Genbank","gene",3808678,3809013,".","-",".","NCU17143","NCU17143"
"CM002240.1","Genbank","gene",6435237,6435860,".","+",".","NCU17054","NCU17054"
"CM002240.1","Genbank","gene",6087154,6088614,".","-",".","NCU17042","NCU17042"
"CM002240.1","Genbank","gene",6100092,6100997,".","-",".","NCU17043","NCU17043"
"CM002240.1","Genbank","gene",662806,666353,".","+",".","NCU16930","NCU16930"
"CM002240.1","Genbank","gene",642040,642719,".","+",".","NCU16926","NCU16926"
"CM002240.1","Genbank","gene",655582,656324,".","-",".","NCU16928","NCU16928"
"CM002240.1","Genbank","gene",657738,659487,".","+",".","NCU16929","NCU16929"
"CM002239.1","Genbank","gene",5946299,5947549,".","+",".","NCU16906","NCU16906"
"CM002239.1","Genbank","gene",5096650,5097060,".","+",".","NCU16876","NCU16876"
"CM002239.1","Genbank","gene",759594,760596,".","-",".","NCU16744","NCU16744"
"CM002239.1","Genbank","gene",597156,597810,".","-",".","NCU16738","NCU16738"
"CM002239.1","Genbank","gene",103519,106130,".","+",".","NCU16720","NCU16720"
"CM002239.1","Genbank","gene",205431,206036,".","+",".","NCU16723","NCU16723"
"CM002239.1","Genbank","gene",360310,360701,".","+",".","NCU16728","NCU16728"
"CM002238.1","Genbank","gene",5228166,5229513,".","-",".","NCU16716","NCU16716"
"CM002238.1","Genbank","gene",5272185,5273718,".","+",".","NCU16718","NCU16718"
"CM002238.1","Genbank","gene",4759637,4760743,".","+",".","NCU16702","NCU16702"
"CM002238.1","Genbank","gene",4809123,4810856,".","+",".","NCU16704","NCU16704"
"CM002238.1","Genbank","gene",4825346,4825846,".","-",".","NCU16705","NCU16705"
"CM002238.1","Genbank","gene",4826688,4827377,".","-",".","NCU16706","NCU16706"
"CM002238.1","Genbank","gene",4860632,4861381,".","-",".","NCU16707","NCU16707"
"CM002238.1","Genbank","gene",382227,382889,".","+",".","NCU16614","NCU16614"
"CM002236.1","Genbank","gene",195781,196290,".","-",".","NCU16305","NCU16305"
"CM002241.1","Genbank","gene",3798661,3799753,".","-",".","NCU12144","NCU12144"
"CM002241.1","Genbank","gene",432497,433014,".","+",".","NCU12076","NCU12076"
"CM002241.1","Genbank","gene",465575,466364,".","-",".","NCU12077","NCU12077"
"CM002241.1","Genbank","gene",467360,467683,".","-",".","NCU12078","NCU12078"
"CM002241.1","Genbank","gene",155205,156962,".","+",".","NCU12069","NCU12069"
"CM002242.1","Genbank","gene",306376,307498,".","-",".","NCU12051","NCU12051"
"CM002242.1","Genbank","gene",706753,707589,".","+",".","NCU12045","NCU12045"
"CM002242.1","Genbank","gene",714757,715446,".","+",".","NCU12044","NCU12044"
"CM002242.1","Genbank","gene",923740,924601,".","+",".","NCU12039","NCU12039"
"CM002242.1","Genbank","gene",929691,930085,".","+",".","NCU12036","NCU12036"
"CM002239.1","Genbank","gene",193862,195389,".","-",".","NCU11364","NCU11364"
"CM002239.1","Genbank","gene",195504,197458,".","+",".","NCU11363","NCU11363"
"CM002238.1","Genbank","gene",4631535,4633728,".","+",".","NCU11286","NCU11286"
"CM002239.1","Genbank","gene",253084,254341,".","-",".","NCU10936","NCU10936"
"CM002239.1","Genbank","gene",250914,251836,".","-",".","NCU10766","NCU10766"
"CM002238.1","Genbank","gene",5225994,5226818,".","+",".","NCU10641","NCU10641"
"CM002239.1","Genbank","gene",588839,589543,".","-",".","NCU10644","NCU10644"
"CM002242.1","Genbank","gene",312100,313727,".","-",".","NCU10539","NCU10539"
"CM002239.1","Genbank","gene",591011,591907,".","+",".","NCU10502","NCU10502"
"CM002238.1","Genbank","gene",5247940,5248821,".","-",".","NCU10427","NCU10427"
"CM002241.1","Genbank","gene",342337,344310,".","-",".","NCU10344","NCU10344"
"CM002239.1","Genbank","gene",1667,3325,".","+",".","NCU10285","NCU10285"
"CM002238.1","Genbank","gene",4657091,4658449,".","-",".","NCU10210","NCU10210"
"CM002239.1","Genbank","gene",5941405,5943417,".","+",".","NCU10039","NCU10039"
"CM002239.1","Genbank","gene",5943563,5945207,".","+",".","NCU10038","NCU10038"
"CM002238.1","Genbank","gene",344838,345608,".","+",".","NCU10005","NCU10005"
"CM002240.1","Genbank","gene",6052654,6053377,".","+",".","NCU09961","NCU09961"
"CM002240.1","Genbank","gene",6058227,6058877,".","+",".","NCU09964","NCU09964"
"CM002240.1","Genbank","gene",6060921,6062353,".","-",".","NCU09965","NCU09965"
"CM002240.1","Genbank","gene",6064588,6066000,".","-",".","NCU09966","NCU09966"
"CM002240.1","Genbank","gene",6029831,6030256,".","-",".","NCU09950","NCU09950"
"CM002240.1","Genbank","gene",6030837,6031483,".","-",".","NCU09951","NCU09951"
"CM002240.1","Genbank","gene",6032208,6032868,".","-",".","NCU09952","NCU09952"
"CM002240.1","Genbank","gene",6033313,6034014,".","-",".","NCU09953","NCU09953"
"CM002240.1","Genbank","gene",6038404,6040286,".","+",".","NCU09955","NCU09955"
