Geneid	Chr	Start	End	Strand	Length	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR8444037/SRR8444037_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR8444038/SRR8444038_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR8444043/SRR8444043_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR7970629/SRR7970629_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR7970630/SRR7970630_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR7970631/SRR7970631_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR7970598/SRR7970598_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR7970599/SRR7970599_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR7970600/SRR7970600_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR8269830/SRR8269830_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR8269647/SRR8269647_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR8269650/SRR8269650_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR10916318/SRR10916318_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR10916319/SRR10916319_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR10916320/SRR10916320_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR7970603/SRR7970603_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR7970606/SRR7970606_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR7970610/SRR7970610_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR9027727/SRR9027727_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR9027728/SRR9027728_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR9027730/SRR9027730_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR8269825/SRR8269825_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR8269775/SRR8269775_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR8269782/SRR8269782_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR8269810/SRR8269810_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR10916163/SRR10916163_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR10916164/SRR10916164_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR10916165/SRR10916165_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-115_RNA_cac-1__Rep1_S139/149-115_RNA_cac-1__Rep1_S139_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-116_RNA_cac-1__Rep2_S140/149-116_RNA_cac-1__Rep2_S140_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-117_RNA_cac-1__Rep3_S141/149-117_RNA_cac-1__Rep3_S141_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-65_RNA_cac-1_cac-2___S65/149-65_RNA_cac-1_cac-2___S65_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-66_RNA_cac-1_cac-2___S66/149-66_RNA_cac-1_cac-2___S66_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-67_RNA_cac-1_cac-2___S67/149-67_RNA_cac-1_cac-2___S67_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-96_RNA_cac-1-suz-12__Rep1_S96/149-96_RNA_cac-1-suz-12__Rep1_S96_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-97_RNA_cac-1-suz-12__Rep2_S121/149-97_RNA_cac-1-suz-12__Rep2_S121_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-98_RNA_cac-1-suz-12__Rep3_S122/149-98_RNA_cac-1-suz-12__Rep3_S122_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR9027658/SRR9027658_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR9027759/SRR9027759_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR9027689/SRR9027689_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR7690267/SRR7690267_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR7690268/SRR7690268_Aligned.sortedByCoord.out.bam
NCU10129	CM002236.1;CM002236.1	1436;1528	1449;1990	-;-	477	709	517	645	500	499	488	2395	2599	2602	642	590	931	411	255	255	766	740	546	435	631	346	1168	1297	1322	1135	331	470	669	191	617	466	313	719	400	1966	1790	1369	703	428	822	23	40
NCU09901	CM002236.1;CM002236.1	3386;3895	3821;4454	+;+	996	699	652	686	624	529	503	804	1157	1229	401	356	542	265	207	186	604	552	414	131	139	204	992	1310	1151	976	176	195	203	121	365	434	657	1470	666	439	362	383	224	204	395	119	117
NCU09903	CM002236.1;CM002236.1	9604;12245	12188;12992	+;+	3333	2935	2282	3008	2152	1656	1353	3214	4548	4038	958	872	1187	985	766	654	1909	1935	1278	198	253	250	3081	3842	3711	3003	615	769	836	55	258	175	60	127	83	304	411	202	849	870	1358	430	231
NCU11134	CM002236.1;CM002236.1;CM002236.1	15930;16065;16491	16015;16295;16647	+;+;+	474	26	16	11	13	14	6	12	24	15	0	8	9	2	7	4	10	0	0	4	1	0	4	4	4	5	0	0	6	2	21	4	15	14	6	18	14	21	0	2	2	0	1
NCU09904	CM002236.1;CM002236.1	17872;18438	18362;19368	+;+	1422	1236	232	1772	550	579	742	555	500	712	5003	4415	5627	2083	315	797	1645	2315	993	569	656	359	5070	6230	6086	5040	678	1464	2624	506	1393	1315	931	1933	1597	3083	2261	2917	2493	1415	4209	12	35
NCU09906	CM002236.1;CM002236.1;CM002236.1	36099;36557;38669	36503;38605;38857	+;+;+	2643	6388	1061	9705	2838	2513	2966	2999	3325	3792	16382	16411	20473	8889	632	2094	7648	10150	5186	2152	2482	1399	30092	35314	35483	29782	2791	5494	8136	1071	2983	3231	2879	6096	3500	8513	7300	7605	17885	6681	23208	23	78
NCU09907	CM002236.1	40950	42632	-	1683	120	130	35	159	107	102	425	442	512	2	0	0	4	4	0	7	0	0	0	6	0	4	2	6	2	9	23	46	6	40	33	35	45	28	122	165	113	48	28	16	2	1
NCU09908	CM002236.1	43709	44551	-	843	2	8	4	6	1	4	13	4	6	2	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	14	14	9	31	7	10	10	8	0	2	0	0	0
NCU09909	CM002236.1;CM002236.1;CM002236.1	45569;45973;47713	45913;47636;47818	-;-;-	2115	8269	6761	6850	7021	6257	7374	4210	5181	5351	2386	2526	3489	1576	3969	1824	3104	1895	2645	1984	2791	2506	1040	1296	1485	1044	896	1676	1579	40	242	154	140	240	176	212	421	256	2546	3746	917	20	83
NCU09910	CM002236.1;CM002236.1	49272;51019	50967;51866	-;-	2544	1160	1086	925	1026	837	967	1140	1436	1249	738	728	935	263	226	179	875	839	633	326	377	287	1576	1879	1854	1537	303	276	292	94	364	236	80	185	83	353	384	212	878	526	986	57	152
NCU09911	CM002236.1	53553	54416	+	864	9108	12140	8472	9727	7892	9290	13414	17137	16813	5248	5360	6914	2230	2460	3448	5475	5028	4492	3056	3854	3541	5277	6147	6263	5166	2922	2706	2239	880	4268	2135	574	1168	909	2429	2889	1566	2438	2501	2090	1622	965
NCU09912	CM002236.1;CM002236.1	55262;56904	56845;57200	+;+	1881	1734	1464	1627	1526	1412	1326	2187	2903	2920	637	603	792	526	405	342	1290	1115	950	629	715	630	1671	2023	2133	1737	327	391	415	68	210	148	157	300	134	244	258	194	776	790	769	143	146
NCU09913	CM002236.1	59176	60618	+	1443	509	559	388	522	605	683	596	700	594	299	304	397	236	155	142	362	364	311	291	384	234	378	515	426	366	171	213	410	56	280	217	333	753	242	588	504	468	317	266	299	36	26
NCU09914	CM002236.1;CM002236.1	62142;62635	62565;62867	+;+	657	89	133	85	102	93	108	76	144	132	164	178	249	108	48	75	77	45	43	57	79	29	120	168	121	105	160	104	155	67	224	155	63	131	58	281	400	141	114	127	124	49	25
NCU10501	CM002236.1;CM002236.1;CM002236.1	91324;91593;92461	91514;92315;92593	+;+;+	1047	19	3	13	7	5	30	91	126	99	5	6	3	0	1	6	6	6	5	6	7	4	14	19	11	10	17	26	26	0	4	6	7	10	11	25	55	20	55	37	42	0	1
NCU08049	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	93689;93689;95218;95218;95407;95407;95742;95742;96320;96320;97486;97486	95046;95046;95266;95266;95467;95467;95997;95997;97262;97262;97794;97794	-;-;-;-;-;-;-;-;-;-;-;-	2976	661	770	499	925	800	818	1250	1617	1352	306	281	380	180	158	125	387	377	304	417	451	360	684	826	777	714	250	190	274	76	298	220	112	246	120	264	313	168	472	335	452	91	63
NCU08050	CM002236.1;CM002236.1	100317;101166	101042;102134	+;+	1695	370	472	265	771	747	887	591	645	738	195	220	308	56	79	71	261	205	213	273	323	234	413	497	451	349	137	86	110	42	123	106	60	127	53	143	162	96	281	198	208	40	28
NCU08051	CM002236.1	104121	105755	-	1635	969	1084	949	783	688	700	683	877	883	712	712	1020	368	265	299	809	999	561	288	359	280	1442	1969	1889	1463	387	255	204	49	160	130	62	203	82	203	251	150	582	353	513	75	89
NCU16303	CM002236.1	102849	103781	+	933	335	328	319	266	262	295	335	436	361	339	350	568	184	86	121	370	500	240	162	190	133	713	1045	947	687	160	118	141	14	43	57	34	40	16	61	76	43	326	240	291	40	24
NCU08052	CM002236.1;CM002236.1;CM002236.1	110408;110973;111335	110908;111273;111669	+;+;+	1137	612	263	685	1736	1515	1309	3810	3135	4210	837	876	1028	409	53	59	23138	39564	17095	6740	6176	3598	47141	57545	56818	46935	2836	661	1017	706	2937	1967	2810	14565	5802	876	918	711	8752	2835	10307	15	39
