"SequenceID","Source","FeatureType","FeatureStart","FeatureEnd","Score","Strand","Phase","Attributes","VALUE"
"CM002240.1","Genbank","gene",5027349,5030561,".","+",".","nmr","nmr"
"CM002242.1","Genbank","gene",3862586,3863627,".","+",".","NCU17275","NCU17275"
"CM002242.1","Genbank","gene",3650708,3651925,".","-",".","NCU17263","NCU17263"
"CM002242.1","Genbank","gene",3165941,3167103,".","+",".","NCU17251","NCU17251"
"CM002242.1","Genbank","gene",3525805,3527265,".","-",".","NCU17258","NCU17258"
"CM002242.1","Genbank","gene",2017067,2018280,".","-",".","NCU17225","NCU17225"
"CM002242.1","Genbank","gene",1859524,1860673,".","+",".","NCU17215","NCU17215"
"CM002242.1","Genbank","gene",52905,56222,".","-",".","NCU17154","NCU17154"
"CM002242.1","Genbank","gene",56583,58151,".","-",".","NCU17155","NCU17155"
"CM002241.1","Genbank","gene",3960928,3961491,".","+",".","NCU17145","NCU17145"
"CM002241.1","Genbank","gene",2278124,2279737,".","+",".","NCU17113","NCU17113"
"CM002241.1","Genbank","gene",610784,612773,".","+",".","NCU17069","NCU17069"
"CM002240.1","Genbank","gene",6297460,6298740,".","+",".","NCU17048","NCU17048"
"CM002240.1","Genbank","gene",6336476,6337367,".","+",".","NCU17049","NCU17049"
"CM002240.1","Genbank","gene",4636260,4638278,".","-",".","NCU17017","NCU17017"
"CM002240.1","Genbank","gene",4085069,4086414,".","+",".","NCU17004","NCU17004"
"CM002240.1","Genbank","gene",4339992,4341556,".","-",".","NCU17008","NCU17008"
"CM002240.1","Genbank","gene",3636465,3637061,".","-",".","NCU16997","NCU16997"
"CM002240.1","Genbank","gene",859965,860429,".","-",".","NCU16941","NCU16941"
"CM002239.1","Genbank","gene",5898045,5898932,".","-",".","NCU16902","NCU16902"
"CM002239.1","Genbank","gene",4353761,4356686,".","+",".","NCU16845","NCU16845"
"CM002239.1","Genbank","gene",4112241,4113433,".","+",".","NCU16832","NCU16832"
"CM002239.1","Genbank","gene",3892553,3893126,".","+",".","NCU16826","NCU16826"
"CM002239.1","Genbank","gene",3423340,3424507,".","+",".","NCU16817","NCU16817"
"CM002239.1","Genbank","gene",3424251,3425392,".","+",".","NCU16818","NCU16818"
"CM002239.1","Genbank","gene",3197375,3198288,".","-",".","NCU16807","NCU16807"
"CM002239.1","Genbank","gene",1879073,1880342,".","-",".","NCU16770","NCU16770"
"CM002239.1","Genbank","gene",2144599,2145854,".","-",".","NCU16776","NCU16776"
"CM002239.1","Genbank","gene",2236501,2240444,".","+",".","NCU16779","NCU16779"
"CM002239.1","Genbank","gene",1875613,1878613,".","-",".","NCU16769","NCU16769"
"CM002239.1","Genbank","gene",221211,223907,".","+",".","NCU16725","NCU16725"
"CM002238.1","Genbank","gene",4923246,4925445,".","-",".","NCU16708","NCU16708"
"CM002238.1","Genbank","gene",3367960,3371294,".","+",".","NCU16676","NCU16676"
"CM002238.1","Genbank","gene",2729544,2730334,".","-",".","NCU16661","NCU16661"
"CM002238.1","Genbank","gene",2713571,2715861,".","+",".","NCU16659","NCU16659"
"CM002238.1","Genbank","gene",2091106,2093298,".","-",".","NCU16646","NCU16646"
"CM002238.1","Genbank","gene",1623487,1625633,".","+",".","NCU16638","NCU16638"
"CM002238.1","Genbank","gene",1317246,1317964,".","-",".","NCU16627","NCU16627"
"CM002238.1","Genbank","gene",656304,657202,".","+",".","NCU16618","NCU16618"
"CM002237.1","Genbank","gene",4213495,4216857,".","+",".","NCU16595","NCU16595"
"CM002237.1","Genbank","gene",4265050,4266907,".","+",".","NCU16599","NCU16599"
"CM002237.1","Genbank","gene",3819380,3820224,".","+",".","NCU16583","NCU16583"
"CM002237.1","Genbank","gene",2483417,2489012,".","-",".","NCU16560","NCU16560"
"CM002237.1","Genbank","gene",3132053,3132460,".","+",".","NCU16569","NCU16569"
"CM002237.1","Genbank","gene",2083141,2084663,".","-",".","NCU16552","NCU16552"
"CM002237.1","Genbank","gene",619188,622342,".","-",".","NCU16511","NCU16511"
"CM002237.1","Genbank","gene",437172,439667,".","-",".","NCU16503","NCU16503"
"CM002236.1","Genbank","gene",8049781,8050511,".","-",".","NCU16455","NCU16455"
"CM002236.1","Genbank","gene",7648040,7649400,".","+",".","NCU16445","NCU16445"
"CM002236.1","Genbank","gene",7700192,7701318,".","+",".","NCU16446","NCU16446"
"CM002236.1","Genbank","gene",6976621,6980270,".","+",".","NCU16432","NCU16432"
"CM002236.1","Genbank","gene",6506885,6508134,".","-",".","NCU16419","NCU16419"
"CM002236.1","Genbank","gene",5728526,5730503,".","-",".","NCU16405","NCU16405"
"CM002236.1","Genbank","gene",5085458,5088645,".","+",".","NCU16391","NCU16391"
"CM002236.1","Genbank","gene",5107530,5108196,".","-",".","NCU16392","NCU16392"
"CM002236.1","Genbank","gene",4196188,4198145,".","-",".","NCU16380","NCU16380"
"CM002236.1","Genbank","gene",4734887,4735838,".","+",".","NCU16387","NCU16387"
"CM002236.1","Genbank","gene",3407982,3409485,".","+",".","NCU16374","NCU16374"
"CM002236.1","Genbank","gene",4137114,4137994,".","+",".","NCU16378","NCU16378"
"CM002236.1","Genbank","gene",2630647,2631219,".","+",".","NCU16363","NCU16363"
"CM002236.1","Genbank","gene",1467490,1470001,".","+",".","NCU16336","NCU16336"
"CM002236.1","Genbank","gene",1062038,1063387,".","+",".","NCU16328","NCU16328"
"CM002236.1","Genbank","gene",351913,353209,".","+",".","NCU16310","NCU16310"
"CM002236.1","Genbank","gene",102849,103781,".","+",".","NCU16303","NCU16303"
"CM002236.1","Genbank","gene",226935,227879,".","-",".","NCU16306","NCU16306"
"CM002238.1","Genbank","gene",3187056,3188222,".","+",".","NCU15830","NCU15830"
"CM002238.1","Genbank","gene",4316482,4319891,".","-",".","NCU15832","NCU15832"
"CM002241.1","Genbank","gene",2060784,2062446,".","-",".","NCU15836","NCU15836"
"CM002241.1","Genbank","gene",4127958,4128488,".","-",".","NCU12150","NCU12150"
"CM002241.1","Genbank","gene",4156628,4157329,".","+",".","NCU12156","NCU12156"
"CM002241.1","Genbank","gene",1928862,1930470,".","-",".","NCU12120","NCU12120"
"CM002241.1","Genbank","gene",2674000,2676005,".","+",".","NCU12107","NCU12107"
"CM002241.1","Genbank","gene",1448322,1449416,".","+",".","NCU12097","NCU12097"
"CM002242.1","Genbank","gene",865481,870083,".","+",".","NCU12040","NCU12040"
"CM002238.1","Genbank","gene",82824,85350,".","-",".","NCU11406","NCU11406"
"CM002238.1","Genbank","gene",4504349,4506308,".","-",".","NCU11368","NCU11368"
"CM002239.1","Genbank","gene",1534018,1537164,".","-",".","NCU11322","NCU11322"
"CM002238.1","Genbank","gene",1958844,1959898,".","-",".","NCU11313","NCU11313"
"CM002240.1","Genbank","gene",1257920,1259592,".","+",".","NCU11309","NCU11309"
"CM002239.1","Genbank","gene",700701,701177,".","+",".","NCU11293","NCU11293"
"CM002238.1","Genbank","gene",5137235,5141089,".","-",".","NCU11288","NCU11288"
