"SequenceID","Source","FeatureType","FeatureStart","FeatureEnd","Score","Strand","Phase","Attributes","VALUE"
"CM002242.1","Genbank","gene",4109283,4110535,".","+",".","NCU17282","NCU17282"
"CM002242.1","Genbank","gene",3746488,3747488,".","+",".","NCU17270","NCU17270"
"CM002242.1","Genbank","gene",3747718,3750205,".","-",".","NCU17271","NCU17271"
"CM002242.1","Genbank","gene",3650708,3651925,".","-",".","NCU17263","NCU17263"
"CM002242.1","Genbank","gene",3664875,3665832,".","+",".","NCU17264","NCU17264"
"CM002242.1","Genbank","gene",3738965,3740362,".","-",".","NCU17267","NCU17267"
"CM002242.1","Genbank","gene",3742302,3743489,".","+",".","NCU17268","NCU17268"
"CM002242.1","Genbank","gene",3743514,3746097,".","-",".","NCU17269","NCU17269"
"CM002242.1","Genbank","gene",2894401,2895725,".","-",".","NCU17244","NCU17244"
"CM002242.1","Genbank","gene",2963828,2966350,".","+",".","NCU17247","NCU17247"
"CM002242.1","Genbank","gene",3036814,3038035,".","-",".","NCU17249","NCU17249"
"CM002242.1","Genbank","gene",2579873,2580817,".","+",".","NCU17230","NCU17230"
"CM002242.1","Genbank","gene",1594421,1595092,".","-",".","NCU17202","NCU17202"
"CM002242.1","Genbank","gene",1595453,1596341,".","-",".","NCU17203","NCU17203"
"CM002242.1","Genbank","gene",1181959,1182785,".","+",".","NCU17185","NCU17185"
"CM002242.1","Genbank","gene",1186703,1187787,".","-",".","NCU17187","NCU17187"
"CM002242.1","Genbank","gene",719122,719706,".","+",".","NCU17172","NCU17172"
"CM002242.1","Genbank","gene",99718,100518,".","-",".","NCU17157","NCU17157"
"CM002241.1","Genbank","gene",3294468,3295683,".","+",".","NCU17127","NCU17127"
"CM002241.1","Genbank","gene",1830187,1833198,".","-",".","NCU17105","NCU17105"
"CM002241.1","Genbank","gene",1323216,1324222,".","-",".","NCU17087","NCU17087"
"CM002241.1","Genbank","gene",406644,408368,".","+",".","NCU17064","NCU17064"
"CM002240.1","Genbank","gene",6362123,6362862,".","-",".","NCU17050","NCU17050"
"CM002240.1","Genbank","gene",6435237,6435860,".","+",".","NCU17054","NCU17054"
"CM002240.1","Genbank","gene",6100092,6100997,".","-",".","NCU17043","NCU17043"
"CM002240.1","Genbank","gene",5500908,5502424,".","-",".","NCU17032","NCU17032"
"CM002240.1","Genbank","gene",3733021,3734433,".","+",".","NCU16998","NCU16998"
"CM002240.1","Genbank","gene",1665694,1666617,".","-",".","NCU16960","NCU16960"
"CM002240.1","Genbank","gene",847716,848306,".","+",".","NCU16940","NCU16940"
"CM002240.1","Genbank","gene",543857,545752,".","-",".","NCU16925","NCU16925"
"CM002240.1","Genbank","gene",642040,642719,".","+",".","NCU16926","NCU16926"
"CM002240.1","Genbank","gene",657738,659487,".","+",".","NCU16929","NCU16929"
"CM002240.1","Genbank","gene",123876,126548,".","+",".","NCU16913","NCU16913"
"CM002240.1","Genbank","gene",346416,347139,".","-",".","NCU16918","NCU16918"
"CM002239.1","Genbank","gene",5834812,5836862,".","-",".","NCU16901","NCU16901"
"CM002239.1","Genbank","gene",5913829,5914260,".","-",".","NCU16904","NCU16904"
"CM002239.1","Genbank","gene",5946299,5947549,".","+",".","NCU16906","NCU16906"
"CM002239.1","Genbank","gene",5096650,5097060,".","+",".","NCU16876","NCU16876"
"CM002239.1","Genbank","gene",4363329,4364696,".","+",".","NCU16846","NCU16846"
"CM002239.1","Genbank","gene",4119778,4120792,".","+",".","NCU16834","NCU16834"
"CM002239.1","Genbank","gene",3832552,3833344,".","+",".","NCU16823","NCU16823"
"CM002239.1","Genbank","gene",3192552,3193545,".","-",".","NCU16805","NCU16805"
"CM002239.1","Genbank","gene",828477,829178,".","+",".","NCU16746","NCU16746"
"CM002239.1","Genbank","gene",597156,597810,".","-",".","NCU16738","NCU16738"
"CM002239.1","Genbank","gene",103519,106130,".","+",".","NCU16720","NCU16720"
"CM002239.1","Genbank","gene",360310,360701,".","+",".","NCU16728","NCU16728"
"CM002238.1","Genbank","gene",5159804,5160637,".","-",".","NCU16714","NCU16714"
"CM002238.1","Genbank","gene",4825346,4825846,".","-",".","NCU16705","NCU16705"
"CM002238.1","Genbank","gene",4467880,4469161,".","+",".","NCU16695","NCU16695"
"CM002238.1","Genbank","gene",3224517,3225951,".","+",".","NCU16673","NCU16673"
"CM002238.1","Genbank","gene",1545160,1546299,".","+",".","NCU16632","NCU16632"
"CM002238.1","Genbank","gene",1546925,1547737,".","+",".","NCU16633","NCU16633"
"CM002238.1","Genbank","gene",1213529,1215473,".","+",".","NCU16624","NCU16624"
"CM002238.1","Genbank","gene",539313,539775,".","+",".","NCU16616","NCU16616"
"CM002237.1","Genbank","gene",4298463,4299228,".","+",".","NCU16600","NCU16600"
"CM002237.1","Genbank","gene",4132288,4133283,".","-",".","NCU16591","NCU16591"
"CM002237.1","Genbank","gene",4223914,4227106,".","+",".","NCU16597","NCU16597"
"CM002237.1","Genbank","gene",3966237,3967930,".","-",".","NCU16588","NCU16588"
"CM002237.1","Genbank","gene",3088597,3089250,".","-",".","NCU16567","NCU16567"
"CM002237.1","Genbank","gene",1696239,1696830,".","-",".","NCU16540","NCU16540"
"CM002237.1","Genbank","gene",1693425,1694798,".","-",".","NCU16538","NCU16538"
"CM002237.1","Genbank","gene",1695026,1696015,".","-",".","NCU16539","NCU16539"
"CM002237.1","Genbank","gene",436772,437506,".","+",".","NCU16502","NCU16502"
"CM002236.1","Genbank","gene",8874065,8875337,".","-",".","NCU16482","NCU16482"
"CM002236.1","Genbank","gene",8876110,8877138,".","-",".","NCU16483","NCU16483"
"CM002236.1","Genbank","gene",8985309,8986258,".","-",".","NCU16488","NCU16488"
"CM002236.1","Genbank","gene",8727314,8728636,".","-",".","NCU16474","NCU16474"
"CM002236.1","Genbank","gene",7250876,7251638,".","+",".","NCU16440","NCU16440"
"CM002236.1","Genbank","gene",7648040,7649400,".","+",".","NCU16445","NCU16445"
"CM002236.1","Genbank","gene",7250164,7250745,".","-",".","NCU16439","NCU16439"
"CM002236.1","Genbank","gene",6506885,6508134,".","-",".","NCU16419","NCU16419"
