"SequenceID","Source","FeatureType","FeatureStart","FeatureEnd","Score","Strand","Phase","Attributes","VALUE"
"CM002242.1","Genbank","gene",3746488,3747488,".","+",".","NCU17270","NCU17270"
"CM002242.1","Genbank","gene",3747718,3750205,".","-",".","NCU17271","NCU17271"
"CM002242.1","Genbank","gene",3664875,3665832,".","+",".","NCU17264","NCU17264"
"CM002242.1","Genbank","gene",3742302,3743489,".","+",".","NCU17268","NCU17268"
"CM002242.1","Genbank","gene",3743514,3746097,".","-",".","NCU17269","NCU17269"
"CM002242.1","Genbank","gene",3328410,3329098,".","-",".","NCU17252","NCU17252"
"CM002242.1","Genbank","gene",3036814,3038035,".","-",".","NCU17249","NCU17249"
"CM002242.1","Genbank","gene",2590311,2591129,".","+",".","NCU17231","NCU17231"
"CM002242.1","Genbank","gene",1867010,1868291,".","+",".","NCU17216","NCU17216"
"CM002242.1","Genbank","gene",1610738,1612759,".","+",".","NCU17205","NCU17205"
"CM002242.1","Genbank","gene",1632929,1634767,".","-",".","NCU17208","NCU17208"
"CM002242.1","Genbank","gene",1186703,1187787,".","-",".","NCU17187","NCU17187"
"CM002242.1","Genbank","gene",444099,445069,".","+",".","NCU17167","NCU17167"
"CM002241.1","Genbank","gene",4020109,4020971,".","+",".","NCU17150","NCU17150"
"CM002241.1","Genbank","gene",3656223,3657663,".","-",".","NCU17136","NCU17136"
"CM002241.1","Genbank","gene",3668608,3670355,".","-",".","NCU17138","NCU17138"
"CM002241.1","Genbank","gene",3137599,3138552,".","-",".","NCU17126","NCU17126"
"CM002241.1","Genbank","gene",3294468,3295683,".","+",".","NCU17127","NCU17127"
"CM002241.1","Genbank","gene",726136,727305,".","+",".","NCU17073","NCU17073"
"CM002241.1","Genbank","gene",1026819,1028705,".","-",".","NCU17077","NCU17077"
"CM002241.1","Genbank","gene",406644,408368,".","+",".","NCU17064","NCU17064"
"CM002241.1","Genbank","gene",482082,483853,".","-",".","NCU17066","NCU17066"
"CM002241.1","Genbank","gene",508922,509949,".","-",".","NCU17067","NCU17067"
"CM002240.1","Genbank","gene",6409845,6410837,".","-",".","NCU17053","NCU17053"
"CM002240.1","Genbank","gene",6435237,6435860,".","+",".","NCU17054","NCU17054"
"CM002241.1","Genbank","gene",26616,28474,".","-",".","NCU17055","NCU17055"
"CM002240.1","Genbank","gene",6084713,6086068,".","-",".","NCU17041","NCU17041"
"CM002240.1","Genbank","gene",6087154,6088614,".","-",".","NCU17042","NCU17042"
"CM002240.1","Genbank","gene",6100092,6100997,".","-",".","NCU17043","NCU17043"
"CM002240.1","Genbank","gene",6152072,6153094,".","+",".","NCU17044","NCU17044"
"CM002240.1","Genbank","gene",5500908,5502424,".","-",".","NCU17032","NCU17032"
"CM002240.1","Genbank","gene",4724006,4725468,".","-",".","NCU17018","NCU17018"
"CM002240.1","Genbank","gene",3733021,3734433,".","+",".","NCU16998","NCU16998"
"CM002240.1","Genbank","gene",3049692,3050444,".","-",".","NCU16980","NCU16980"
"CM002240.1","Genbank","gene",3280974,3282237,".","-",".","NCU16988","NCU16988"
"CM002240.1","Genbank","gene",1665694,1666617,".","-",".","NCU16960","NCU16960"
"CM002240.1","Genbank","gene",1672264,1673942,".","+",".","NCU16961","NCU16961"
"CM002240.1","Genbank","gene",847716,848306,".","+",".","NCU16940","NCU16940"
"CM002240.1","Genbank","gene",543857,545752,".","-",".","NCU16925","NCU16925"
"CM002240.1","Genbank","gene",642040,642719,".","+",".","NCU16926","NCU16926"
"CM002240.1","Genbank","gene",657738,659487,".","+",".","NCU16929","NCU16929"
"CM002240.1","Genbank","gene",123876,126548,".","+",".","NCU16913","NCU16913"
"CM002240.1","Genbank","gene",239110,239682,".","+",".","NCU16916","NCU16916"
"CM002239.1","Genbank","gene",5937270,5937656,".","-",".","NCU16905","NCU16905"
"CM002239.1","Genbank","gene",5946299,5947549,".","+",".","NCU16906","NCU16906"
"CM002239.1","Genbank","gene",5553543,5554427,".","+",".","NCU16891","NCU16891"
"CM002239.1","Genbank","gene",5054699,5055272,".","-",".","NCU16875","NCU16875"
"CM002239.1","Genbank","gene",5096650,5097060,".","+",".","NCU16876","NCU16876"
"CM002239.1","Genbank","gene",4467047,4468305,".","+",".","NCU16854","NCU16854"
"CM002239.1","Genbank","gene",4492013,4492910,".","-",".","NCU16856","NCU16856"
"CM002239.1","Genbank","gene",4503044,4504770,".","+",".","NCU16857","NCU16857"
"CM002239.1","Genbank","gene",3998043,3999176,".","+",".","NCU16830","NCU16830"
"CM002239.1","Genbank","gene",4071760,4072107,".","+",".","NCU16831","NCU16831"
"CM002239.1","Genbank","gene",1544217,1544970,".","+",".","NCU16762","NCU16762"
"CM002239.1","Genbank","gene",1091410,1092518,".","+",".","NCU16750","NCU16750"
"CM002239.1","Genbank","gene",1401245,1403435,".","+",".","NCU16757","NCU16757"
"CM002239.1","Genbank","gene",745737,746045,".","+",".","NCU16743","NCU16743"
"CM002239.1","Genbank","gene",759594,760596,".","-",".","NCU16744","NCU16744"
"CM002239.1","Genbank","gene",772271,773545,".","-",".","NCU16745","NCU16745"
"CM002239.1","Genbank","gene",828477,829178,".","+",".","NCU16746","NCU16746"
"CM002239.1","Genbank","gene",597156,597810,".","-",".","NCU16738","NCU16738"
"CM002239.1","Genbank","gene",103519,106130,".","+",".","NCU16720","NCU16720"
"CM002239.1","Genbank","gene",205431,206036,".","+",".","NCU16723","NCU16723"
"CM002239.1","Genbank","gene",218652,220642,".","+",".","NCU16724","NCU16724"
"CM002239.1","Genbank","gene",360310,360701,".","+",".","NCU16728","NCU16728"
"CM002238.1","Genbank","gene",5155312,5156577,".","+",".","NCU16713","NCU16713"
"CM002238.1","Genbank","gene",5159804,5160637,".","-",".","NCU16714","NCU16714"
"CM002238.1","Genbank","gene",5161507,5162577,".","-",".","NCU16715","NCU16715"
"CM002238.1","Genbank","gene",5228166,5229513,".","-",".","NCU16716","NCU16716"
"CM002239.1","Genbank","gene",69650,71006,".","-",".","NCU16719","NCU16719"
"CM002238.1","Genbank","gene",4809123,4810856,".","+",".","NCU16704","NCU16704"
"CM002238.1","Genbank","gene",4356745,4357563,".","-",".","NCU16690","NCU16690"
"CM002238.1","Genbank","gene",4467880,4469161,".","+",".","NCU16695","NCU16695"
"CM002238.1","Genbank","gene",4569124,4570645,".","+",".","NCU16698","NCU16698"
"CM002238.1","Genbank","gene",3713038,3714487,".","-",".","NCU16683","NCU16683"
"CM002238.1","Genbank","gene",3894349,3895413,".","+",".","NCU16685","NCU16685"
"CM002238.1","Genbank","gene",4100802,4101266,".","-",".","NCU16686","NCU16686"
"CM002238.1","Genbank","gene",3224517,3225951,".","+",".","NCU16673","NCU16673"
"CM002238.1","Genbank","gene",1875743,1877036,".","-",".","NCU16645","NCU16645"
"CM002238.1","Genbank","gene",1336781,1337245,".","+",".","NCU16630","NCU16630"
"CM002238.1","Genbank","gene",1545160,1546299,".","+",".","NCU16632","NCU16632"
"CM002238.1","Genbank","gene",1213529,1215473,".","+",".","NCU16624","NCU16624"
"CM002238.1","Genbank","gene",266740,267175,".","+",".","NCU16611","NCU16611"
"CM002238.1","Genbank","gene",382227,382889,".","+",".","NCU16614","NCU16614"
"CM002238.1","Genbank","gene",517579,518540,".","+",".","NCU16615","NCU16615"
"CM002238.1","Genbank","gene",539313,539775,".","+",".","NCU16616","NCU16616"
"CM002238.1","Genbank","gene",588244,589464,".","-",".","NCU16617","NCU16617"
"CM002237.1","Genbank","gene",4298463,4299228,".","+",".","NCU16600","NCU16600"
"CM002237.1","Genbank","gene",3966237,3967930,".","-",".","NCU16588","NCU16588"
"CM002237.1","Genbank","gene",2884746,2885529,".","-",".","NCU16562","NCU16562"
"CM002237.1","Genbank","gene",3088597,3089250,".","-",".","NCU16567","NCU16567"
"CM002237.1","Genbank","gene",2396560,2397835,".","-",".","NCU16554","NCU16554"
"CM002237.1","Genbank","gene",2419407,2420844,".","-",".","NCU16557","NCU16557"
"CM002237.1","Genbank","gene",2423095,2424288,".","+",".","NCU16558","NCU16558"
