"SequenceID","Source","FeatureType","FeatureStart","FeatureEnd","Score","Strand","Phase","Attributes","VALUE"
"CM002242.1","Genbank","gene",4109283,4110535,".","+",".","NCU17282","NCU17282"
"CM002242.1","Genbank","gene",4110659,4111130,".","+",".","NCU17283","NCU17283"
"CM002242.1","Genbank","gene",4118242,4119151,".","+",".","NCU17284","NCU17284"
"CM002242.1","Genbank","gene",3746488,3747488,".","+",".","NCU17270","NCU17270"
"CM002242.1","Genbank","gene",3747718,3750205,".","-",".","NCU17271","NCU17271"
"CM002242.1","Genbank","gene",3786560,3787520,".","-",".","NCU17272","NCU17272"
"CM002242.1","Genbank","gene",3945121,3947787,".","-",".","NCU17278","NCU17278"
"CM002242.1","Genbank","gene",3612679,3615704,".","+",".","NCU17261","NCU17261"
"CM002242.1","Genbank","gene",3664875,3665832,".","+",".","NCU17264","NCU17264"
"CM002242.1","Genbank","gene",3738965,3740362,".","-",".","NCU17267","NCU17267"
"CM002242.1","Genbank","gene",3742302,3743489,".","+",".","NCU17268","NCU17268"
"CM002242.1","Genbank","gene",3743514,3746097,".","-",".","NCU17269","NCU17269"
"CM002242.1","Genbank","gene",3328410,3329098,".","-",".","NCU17252","NCU17252"
"CM002242.1","Genbank","gene",2894401,2895725,".","-",".","NCU17244","NCU17244"
"CM002242.1","Genbank","gene",2963828,2966350,".","+",".","NCU17247","NCU17247"
"CM002242.1","Genbank","gene",3036814,3038035,".","-",".","NCU17249","NCU17249"
"CM002242.1","Genbank","gene",2579873,2580817,".","+",".","NCU17230","NCU17230"
"CM002242.1","Genbank","gene",2590311,2591129,".","+",".","NCU17231","NCU17231"
"CM002242.1","Genbank","gene",2621398,2622824,".","-",".","NCU17232","NCU17232"
"CM002242.1","Genbank","gene",2014369,2015471,".","-",".","NCU17224","NCU17224"
"CM002242.1","Genbank","gene",1594421,1595092,".","-",".","NCU17202","NCU17202"
"CM002242.1","Genbank","gene",1595453,1596341,".","-",".","NCU17203","NCU17203"
"CM002242.1","Genbank","gene",1610738,1612759,".","+",".","NCU17205","NCU17205"
"CM002242.1","Genbank","gene",925045,925845,".","+",".","NCU17180","NCU17180"
"CM002242.1","Genbank","gene",1184975,1186447,".","-",".","NCU17186","NCU17186"
"CM002242.1","Genbank","gene",1186703,1187787,".","-",".","NCU17187","NCU17187"
"CM002242.1","Genbank","gene",679971,681716,".","+",".","NCU17171","NCU17171"
"CM002242.1","Genbank","gene",719122,719706,".","+",".","NCU17172","NCU17172"
"CM002242.1","Genbank","gene",241507,241878,".","-",".","NCU17161","NCU17161"
"CM002242.1","Genbank","gene",444099,445069,".","+",".","NCU17167","NCU17167"
"CM002241.1","Genbank","gene",4020109,4020971,".","+",".","NCU17150","NCU17150"
"CM002242.1","Genbank","gene",99718,100518,".","-",".","NCU17157","NCU17157"
"CM002241.1","Genbank","gene",3564215,3565945,".","+",".","NCU17135","NCU17135"
"CM002241.1","Genbank","gene",3656223,3657663,".","-",".","NCU17136","NCU17136"
"CM002241.1","Genbank","gene",3667332,3668363,".","-",".","NCU17137","NCU17137"
"CM002241.1","Genbank","gene",3668608,3670355,".","-",".","NCU17138","NCU17138"
"CM002241.1","Genbank","gene",3137599,3138552,".","-",".","NCU17126","NCU17126"
"CM002241.1","Genbank","gene",3294468,3295683,".","+",".","NCU17127","NCU17127"
"CM002241.1","Genbank","gene",2351650,2353179,".","+",".","NCU17115","NCU17115"
"CM002241.1","Genbank","gene",1659084,1660221,".","-",".","NCU17100","NCU17100"
"CM002241.1","Genbank","gene",1830187,1833198,".","-",".","NCU17105","NCU17105"
"CM002241.1","Genbank","gene",726136,727305,".","+",".","NCU17073","NCU17073"
"CM002241.1","Genbank","gene",1026819,1028705,".","-",".","NCU17077","NCU17077"
"CM002241.1","Genbank","gene",406644,408368,".","+",".","NCU17064","NCU17064"
"CM002241.1","Genbank","gene",508922,509949,".","-",".","NCU17067","NCU17067"
"CM002240.1","Genbank","gene",6409845,6410837,".","-",".","NCU17053","NCU17053"
"CM002240.1","Genbank","gene",6435237,6435860,".","+",".","NCU17054","NCU17054"
"CM002241.1","Genbank","gene",26616,28474,".","-",".","NCU17055","NCU17055"
"CM002240.1","Genbank","gene",6084713,6086068,".","-",".","NCU17041","NCU17041"
"CM002240.1","Genbank","gene",6087154,6088614,".","-",".","NCU17042","NCU17042"
"CM002240.1","Genbank","gene",6100092,6100997,".","-",".","NCU17043","NCU17043"
"CM002240.1","Genbank","gene",6152072,6153094,".","+",".","NCU17044","NCU17044"
"CM002240.1","Genbank","gene",5500908,5502424,".","-",".","NCU17032","NCU17032"
"CM002240.1","Genbank","gene",5820859,5821669,".","+",".","NCU17036","NCU17036"
"CM002240.1","Genbank","gene",5827563,5828087,".","-",".","NCU17038","NCU17038"
"CM002240.1","Genbank","gene",5311383,5311946,".","-",".","NCU17029","NCU17029"
"CM002240.1","Genbank","gene",4412217,4413204,".","-",".","NCU17014","NCU17014"
"CM002240.1","Genbank","gene",4588085,4589430,".","+",".","NCU17016","NCU17016"
"CM002240.1","Genbank","gene",4724006,4725468,".","-",".","NCU17018","NCU17018"
"CM002240.1","Genbank","gene",3389984,3390756,".","-",".","NCU16991","NCU16991"
"CM002240.1","Genbank","gene",3049692,3050444,".","-",".","NCU16980","NCU16980"
"CM002240.1","Genbank","gene",3280974,3282237,".","-",".","NCU16988","NCU16988"
"CM002240.1","Genbank","gene",2756230,2757443,".","-",".","NCU16971","NCU16971"
"CM002240.1","Genbank","gene",1665694,1666617,".","-",".","NCU16960","NCU16960"
"CM002240.1","Genbank","gene",2275617,2276605,".","-",".","NCU16967","NCU16967"
"CM002240.1","Genbank","gene",1366996,1369263,".","+",".","NCU16952","NCU16952"
"CM002240.1","Genbank","gene",847716,848306,".","+",".","NCU16940","NCU16940"
"CM002240.1","Genbank","gene",1238838,1239627,".","+",".","NCU16948","NCU16948"
"CM002240.1","Genbank","gene",662806,666353,".","+",".","NCU16930","NCU16930"
"CM002240.1","Genbank","gene",846343,846893,".","+",".","NCU16939","NCU16939"
"CM002240.1","Genbank","gene",379435,380292,".","+",".","NCU16920","NCU16920"
"CM002240.1","Genbank","gene",529780,530166,".","-",".","NCU16924","NCU16924"
"CM002240.1","Genbank","gene",543857,545752,".","-",".","NCU16925","NCU16925"
"CM002240.1","Genbank","gene",642040,642719,".","+",".","NCU16926","NCU16926"
"CM002240.1","Genbank","gene",647895,648408,".","+",".","NCU16927","NCU16927"
"CM002240.1","Genbank","gene",655582,656324,".","-",".","NCU16928","NCU16928"
"CM002240.1","Genbank","gene",657738,659487,".","+",".","NCU16929","NCU16929"
"CM002240.1","Genbank","gene",58499,59234,".","-",".","NCU16911","NCU16911"
"CM002240.1","Genbank","gene",123876,126548,".","+",".","NCU16913","NCU16913"
"CM002240.1","Genbank","gene",239110,239682,".","+",".","NCU16916","NCU16916"
"CM002239.1","Genbank","gene",5834812,5836862,".","-",".","NCU16901","NCU16901"
"CM002239.1","Genbank","gene",5937270,5937656,".","-",".","NCU16905","NCU16905"
"CM002239.1","Genbank","gene",5946299,5947549,".","+",".","NCU16906","NCU16906"
"CM002239.1","Genbank","gene",5553543,5554427,".","+",".","NCU16891","NCU16891"
"CM002239.1","Genbank","gene",5609307,5610373,".","-",".","NCU16892","NCU16892"
"CM002239.1","Genbank","gene",5697669,5698574,".","-",".","NCU16895","NCU16895"
"CM002239.1","Genbank","gene",5749470,5750953,".","-",".","NCU16898","NCU16898"
"CM002239.1","Genbank","gene",5054699,5055272,".","-",".","NCU16875","NCU16875"
"CM002239.1","Genbank","gene",5096650,5097060,".","+",".","NCU16876","NCU16876"
"CM002239.1","Genbank","gene",5110331,5111090,".","+",".","NCU16877","NCU16877"
"CM002239.1","Genbank","gene",4671660,4672904,".","-",".","NCU16860","NCU16860"
"CM002239.1","Genbank","gene",4763154,4765057,".","+",".","NCU16867","NCU16867"
"CM002239.1","Genbank","gene",4492013,4492910,".","-",".","NCU16856","NCU16856"
"CM002239.1","Genbank","gene",4503044,4504770,".","+",".","NCU16857","NCU16857"
"CM002239.1","Genbank","gene",4363329,4364696,".","+",".","NCU16846","NCU16846"
"CM002239.1","Genbank","gene",4389473,4394816,".","+",".","NCU16848","NCU16848"
"CM002239.1","Genbank","gene",4071760,4072107,".","+",".","NCU16831","NCU16831"
"CM002239.1","Genbank","gene",4119778,4120792,".","+",".","NCU16834","NCU16834"
"CM002239.1","Genbank","gene",3479191,3480220,".","+",".","NCU16819","NCU16819"
"CM002239.1","Genbank","gene",2198451,2199332,".","-",".","NCU16777","NCU16777"
"CM002239.1","Genbank","gene",1544217,1544970,".","+",".","NCU16762","NCU16762"
"CM002239.1","Genbank","gene",1559708,1560288,".","+",".","NCU16763","NCU16763"
"CM002239.1","Genbank","gene",1714238,1715539,".","+",".","NCU16767","NCU16767"
"CM002239.1","Genbank","gene",1306771,1308066,".","-",".","NCU16754","NCU16754"
"CM002239.1","Genbank","gene",1308218,1308992,".","-",".","NCU16755","NCU16755"
"CM002239.1","Genbank","gene",655051,656598,".","-",".","NCU16740","NCU16740"
"CM002239.1","Genbank","gene",759594,760596,".","-",".","NCU16744","NCU16744"
"CM002239.1","Genbank","gene",772271,773545,".","-",".","NCU16745","NCU16745"
