"SequenceID","Source","FeatureType","FeatureStart","FeatureEnd","Score","Strand","Phase","Attributes","VALUE"
"CM002242.1","Genbank","gene",4109283,4110535,".","+",".","NCU17282","NCU17282"
"CM002242.1","Genbank","gene",3650708,3651925,".","-",".","NCU17263","NCU17263"
"CM002242.1","Genbank","gene",1181959,1182785,".","+",".","NCU17185","NCU17185"
"CM002240.1","Genbank","gene",6362123,6362862,".","-",".","NCU17050","NCU17050"
"CM002240.1","Genbank","gene",346416,347139,".","-",".","NCU16918","NCU16918"
"CM002239.1","Genbank","gene",5834812,5836862,".","-",".","NCU16901","NCU16901"
"CM002239.1","Genbank","gene",5913829,5914260,".","-",".","NCU16904","NCU16904"
"CM002239.1","Genbank","gene",4119778,4120792,".","+",".","NCU16834","NCU16834"
"CM002237.1","Genbank","gene",4132288,4133283,".","-",".","NCU16591","NCU16591"
"CM002237.1","Genbank","gene",4223914,4227106,".","+",".","NCU16597","NCU16597"
"CM002237.1","Genbank","gene",436772,437506,".","+",".","NCU16502","NCU16502"
"CM002236.1","Genbank","gene",7648040,7649400,".","+",".","NCU16445","NCU16445"
"CM002236.1","Genbank","gene",6506885,6508134,".","-",".","NCU16419","NCU16419"
"CM002236.1","Genbank","gene",5728526,5730503,".","-",".","NCU16405","NCU16405"
"CM002236.1","Genbank","gene",5427659,5428136,".","+",".","NCU16398","NCU16398"
"CM002236.1","Genbank","gene",2100119,2100880,".","+",".","NCU16348","NCU16348"
"CM002236.1","Genbank","gene",980957,982105,".","-",".","NCU16323","NCU16323"
"CM002238.1","Genbank","gene",4316482,4319891,".","-",".","NCU15832","NCU15832"
"CM002241.1","Genbank","gene",3160756,3162230,".","-",".","NCU12126","NCU12126"
"CM002238.1","Genbank","gene",1958844,1959898,".","-",".","NCU11313","NCU11313"
"CM002238.1","Genbank","gene",5268653,5269619,".","-",".","NCU11291","NCU11291"
"CM002236.1","Genbank","gene",7318856,7321215,".","-",".","NCU11095","NCU11095"
"CM002241.1","Genbank","gene",3400817,3401391,".","-",".","NCU11059","NCU11059"
"CM002240.1","Genbank","gene",699366,700976,".","-",".","NCU11046","NCU11046"
"CM002241.1","Genbank","gene",3593385,3597540,".","-",".","NCU10883","NCU10883"
"CM002242.1","Genbank","gene",1449282,1451069,".","-",".","NCU10865","NCU10865"
"CM002236.1","Genbank","gene",5374803,5378088,".","+",".","NCU10852","NCU10852"
